date,day_index,selected_candidate,latest_full_score_day_released,candidate_index,gamma
2025-07-07,187,cvar_t0.95_r0.05_g0.02,185,9,0.02
2025-07-08,188,cvar_t0.95_r0.05_g0.02,186,9,0.02
2025-07-09,189,cvar_t0.95_r0.05_g0.02,187,9,0.02
2025-07-10,190,cvar_t0.95_r0.05_g0.02,188,9,0.02
2025-07-11,191,cvar_t0.90_r0.05_g0.00,189,2,0.0
2025-07-12,192,cvar_t0.90_r0.05_g0.00,190,2,0.0
2025-07-13,193,cvar_t0.90_r0.05_g0.00,191,2,0.0
2025-07-14,194,cvar_t0.90_r0.05_g0.00,192,2,0.0
2025-07-15,195,cvar_t0.95_r0.05_g0.02,193,9,0.02
2025-07-16,196,cvar_t0.95_r0.20_g0.05,194,15,0.05
2025-07-17,197,cvar_t0.95_r0.20_g0.05,195,15,0.05
2025-07-18,198,cvar_t0.90_r0.20_g0.02,196,8,0.02
2025-07-19,199,cvar_t0.90_r0.20_g0.02,197,8,0.02
2025-07-20,200,cvar_t0.90_r0.20_g0.02,198,8,0.02
2025-07-21,201,cvar_t0.90_r0.20_g0.02,199,8,0.02
2025-07-22,202,cvar_t0.95_r0.20_g0.05,200,15,0.05
2025-07-23,203,cvar_t0.95_r0.20_g0.05,201,15,0.05
2025-07-24,204,cvar_t0.95_r0.20_g0.05,202,15,0.05
2025-07-25,205,cvar_t0.95_r0.20_g0.05,203,15,0.05
2025-07-26,206,cvar_t0.95_r0.20_g0.05,204,15,0.05
2025-07-27,207,cvar_t0.95_r0.20_g0.05,205,15,0.05
2025-07-28,208,cvar_t0.95_r0.20_g0.05,206,15,0.05
2025-07-29,209,cvar_t0.95_r0.20_g0.05,207,15,0.05
2025-07-30,210,cvar_t0.95_r0.20_g0.05,208,15,0.05
2025-07-31,211,cvar_t0.95_r0.20_g0.05,209,15,0.05
2025-08-01,212,nocvar_g0.05,210,11,0.05
2025-08-02,213,nocvar_g0.05,211,11,0.05
2025-08-03,214,nocvar_g0.05,212,11,0.05
2025-08-04,215,nocvar_g0.05,213,11,0.05
2025-08-05,216,nocvar_g0.05,214,11,0.05
2025-08-06,217,nocvar_g0.05,215,11,0.05
2025-08-07,218,nocvar_g0.05,216,11,0.05
2025-08-08,219,nocvar_g0.05,217,11,0.05
2025-08-09,220,nocvar_g0.05,218,11,0.05
2025-08-10,221,nocvar_g0.05,219,11,0.05
2025-08-11,222,nocvar_g0.05,220,11,0.05
2025-08-12,223,nocvar_g0.05,221,11,0.05
2025-08-13,224,nocvar_g0.05,222,11,0.05
2025-08-14,225,nocvar_g0.05,223,11,0.05
2025-08-15,226,nocvar_g0.05,224,11,0.05
2025-08-16,227,nocvar_g0.05,225,11,0.05
2025-08-17,228,nocvar_g0.05,226,11,0.05
2025-08-18,229,nocvar_g0.05,227,11,0.05
2025-08-19,230,nocvar_g0.05,228,11,0.05
2025-08-20,231,nocvar_g0.05,229,11,0.05
2025-08-21,232,nocvar_g0.05,230,11,0.05
2025-08-22,233,nocvar_g0.05,231,11,0.05
2025-08-23,234,nocvar_g0.05,232,11,0.05
2025-08-24,235,nocvar_g0.05,233,11,0.05
2025-08-25,236,nocvar_g0.05,234,11,0.05
2025-08-26,237,nocvar_g0.05,235,11,0.05
2025-08-27,238,nocvar_g0.05,236,11,0.05
2025-08-28,239,nocvar_g0.05,237,11,0.05
2025-08-29,240,nocvar_g0.05,238,11,0.05
2025-08-30,241,nocvar_g0.05,239,11,0.05
2025-08-31,242,nocvar_g0.05,240,11,0.05
2025-09-01,243,nocvar_g0.05,241,11,0.05
2025-09-02,244,nocvar_g0.05,242,11,0.05
2025-09-03,245,cvar_t0.90_r0.05_g0.05,243,12,0.05
2025-09-04,246,cvar_t0.90_r0.05_g0.05,244,12,0.05
2025-09-05,247,nocvar_g0.05,245,11,0.05
2025-09-06,248,nocvar_g0.05,246,11,0.05
2025-09-07,249,nocvar_g0.05,247,11,0.05
2025-09-08,250,cvar_t0.90_r0.05_g0.05,248,12,0.05
2025-09-09,251,cvar_t0.90_r0.05_g0.05,249,12,0.05
2025-09-10,252,cvar_t0.90_r0.05_g0.05,250,12,0.05
2025-09-11,253,cvar_t0.90_r0.05_g0.05,251,12,0.05
2025-09-12,254,cvar_t0.90_r0.05_g0.05,252,12,0.05
2025-09-13,255,cvar_t0.90_r0.05_g0.05,253,12,0.05
2025-09-14,256,cvar_t0.90_r0.05_g0.05,254,12,0.05
2025-09-15,257,cvar_t0.90_r0.05_g0.05,255,12,0.05
2025-09-16,258,cvar_t0.90_r0.05_g0.05,256,12,0.05
2025-09-17,259,nocvar_g0.02,257,6,0.02
2025-09-18,260,nocvar_g0.02,258,6,0.02
2025-09-19,261,cvar_t0.95_r0.05_g0.05,259,14,0.05
2025-09-20,262,cvar_t0.95_r0.05_g0.05,260,14,0.05
2025-09-21,263,cvar_t0.95_r0.05_g0.05,261,14,0.05
2025-09-22,264,cvar_t0.95_r0.05_g0.05,262,14,0.05
2025-09-23,265,cvar_t0.95_r0.05_g0.05,263,14,0.05
2025-09-24,266,cvar_t0.95_r0.05_g0.05,264,14,0.05
2025-09-25,267,cvar_t0.90_r0.20_g0.05,265,13,0.05
2025-09-26,268,cvar_t0.90_r0.20_g0.05,266,13,0.05
2025-09-27,269,cvar_t0.95_r0.05_g0.05,267,14,0.05
2025-09-28,270,cvar_t0.90_r0.20_g0.05,268,13,0.05
2025-09-29,271,cvar_t0.90_r0.20_g0.05,269,13,0.05
2025-09-30,272,cvar_t0.90_r0.20_g0.05,270,13,0.05
2025-10-01,273,cvar_t0.90_r0.20_g0.05,271,13,0.05
2025-10-02,274,cvar_t0.90_r0.20_g0.05,272,13,0.05
2025-10-03,275,cvar_t0.95_r0.05_g0.02,273,9,0.02
2025-10-04,276,cvar_t0.95_r0.05_g0.02,274,9,0.02
2025-10-05,277,cvar_t0.95_r0.05_g0.02,275,9,0.02
2025-10-06,278,cvar_t0.95_r0.05_g0.02,276,9,0.02
2025-10-07,279,cvar_t0.95_r0.05_g0.02,277,9,0.02
2025-10-08,280,cvar_t0.95_r0.05_g0.02,278,9,0.02
2025-10-09,281,cvar_t0.95_r0.05_g0.02,279,9,0.02
2025-10-10,282,cvar_t0.90_r0.05_g0.02,280,7,0.02
2025-10-11,283,cvar_t0.90_r0.05_g0.02,281,7,0.02
2025-10-12,284,cvar_t0.90_r0.05_g0.02,282,7,0.02
2025-10-13,285,cvar_t0.90_r0.05_g0.02,283,7,0.02
2025-10-14,286,cvar_t0.90_r0.05_g0.02,284,7,0.02
2025-10-15,287,cvar_t0.90_r0.05_g0.02,285,7,0.02
2025-10-16,288,cvar_t0.90_r0.05_g0.02,286,7,0.02
2025-10-17,289,cvar_t0.90_r0.20_g0.02,287,8,0.02
2025-10-18,290,cvar_t0.90_r0.20_g0.02,288,8,0.02
2025-10-19,291,cvar_t0.90_r0.20_g0.05,289,13,0.05
2025-10-20,292,cvar_t0.90_r0.05_g0.02,290,7,0.02
2025-10-21,293,cvar_t0.90_r0.20_g0.02,291,8,0.02
2025-10-22,294,cvar_t0.90_r0.20_g0.02,292,8,0.02
2025-10-23,295,cvar_t0.90_r0.20_g0.05,293,13,0.05
2025-10-24,296,cvar_t0.95_r0.20_g0.05,294,15,0.05
2025-10-25,297,cvar_t0.95_r0.20_g0.05,295,15,0.05
2025-10-26,298,cvar_t0.95_r0.20_g0.05,296,15,0.05
2025-10-27,299,cvar_t0.95_r0.20_g0.05,297,15,0.05
2025-10-28,300,cvar_t0.95_r0.20_g0.05,298,15,0.05
2025-10-29,301,cvar_t0.95_r0.20_g0.05,299,15,0.05
2025-10-30,302,cvar_t0.90_r0.20_g0.05,300,13,0.05
2025-10-31,303,cvar_t0.90_r0.20_g0.05,301,13,0.05
2025-11-01,304,cvar_t0.90_r0.20_g0.05,302,13,0.05
2025-11-02,305,cvar_t0.90_r0.20_g0.05,303,13,0.05
2025-11-03,306,cvar_t0.90_r0.20_g0.05,304,13,0.05
2025-11-04,307,cvar_t0.90_r0.20_g0.05,305,13,0.05
2025-11-05,308,cvar_t0.90_r0.20_g0.05,306,13,0.05
2025-11-06,309,cvar_t0.90_r0.20_g0.05,307,13,0.05
2025-11-07,310,cvar_t0.90_r0.05_g0.00,308,2,0.0
2025-11-08,311,cvar_t0.90_r0.05_g0.00,309,2,0.0
2025-11-09,312,cvar_t0.90_r0.05_g0.00,310,2,0.0
2025-11-10,313,cvar_t0.90_r0.05_g0.00,311,2,0.0
2025-11-11,314,cvar_t0.90_r0.05_g0.00,312,2,0.0
2025-11-12,315,cvar_t0.90_r0.05_g0.00,313,2,0.0
2025-11-13,316,cvar_t0.90_r0.05_g0.00,314,2,0.0
2025-11-14,317,cvar_t0.90_r0.05_g0.00,315,2,0.0
2025-11-15,318,cvar_t0.90_r0.05_g0.00,316,2,0.0
2025-11-16,319,cvar_t0.90_r0.05_g0.00,317,2,0.0
2025-11-17,320,cvar_t0.90_r0.05_g0.00,318,2,0.0
2025-11-18,321,cvar_t0.90_r0.05_g0.00,319,2,0.0
2025-11-19,322,nocvar_g0.00,320,1,0.0
2025-11-20,323,nocvar_g0.00,321,1,0.0
2025-11-21,324,nocvar_g0.00,322,1,0.0
2025-11-22,325,nocvar_g0.02,323,6,0.02
2025-11-23,326,nocvar_g0.02,324,6,0.02
2025-11-24,327,nocvar_g0.02,325,6,0.02
2025-11-25,328,nocvar_g0.00,326,1,0.0
2025-11-26,329,nocvar_g0.00,327,1,0.0
2025-11-27,330,nocvar_g0.00,328,1,0.0
2025-11-28,331,nocvar_g0.00,329,1,0.0
2025-11-29,332,nocvar_g0.00,330,1,0.0
2025-11-30,333,nocvar_g0.00,331,1,0.0
2025-12-01,334,nocvar_g0.00,332,1,0.0
2025-12-02,335,cvar_t0.90_r0.20_g0.00,333,3,0.0
2025-12-03,336,cvar_t0.90_r0.20_g0.00,334,3,0.0
2025-12-04,337,cvar_t0.90_r0.20_g0.00,335,3,0.0
2025-12-05,338,cvar_t0.90_r0.20_g0.00,336,3,0.0
2025-12-06,339,cvar_t0.90_r0.20_g0.00,337,3,0.0
2025-12-07,340,cvar_t0.90_r0.20_g0.00,338,3,0.0
2025-12-08,341,cvar_t0.90_r0.20_g0.00,339,3,0.0
2025-12-09,342,cvar_t0.95_r0.20_g0.02,340,10,0.02
2025-12-10,343,cvar_t0.90_r0.20_g0.02,341,8,0.02
2025-12-11,344,cvar_t0.90_r0.20_g0.02,342,8,0.02
2025-12-12,345,cvar_t0.90_r0.20_g0.02,343,8,0.02
2025-12-13,346,cvar_t0.95_r0.05_g0.02,344,9,0.02
2025-12-14,347,cvar_t0.95_r0.05_g0.02,345,9,0.02
2025-12-15,348,cvar_t0.90_r0.20_g0.02,346,8,0.02
2025-12-16,349,cvar_t0.90_r0.20_g0.02,347,8,0.02
2025-12-17,350,cvar_t0.90_r0.20_g0.02,348,8,0.02
2025-12-18,351,cvar_t0.90_r0.20_g0.02,349,8,0.02
2025-12-19,352,cvar_t0.95_r0.05_g0.02,350,9,0.02
2025-12-20,353,cvar_t0.95_r0.05_g0.02,351,9,0.02
2025-12-21,354,cvar_t0.95_r0.05_g0.02,352,9,0.02
2025-12-22,355,cvar_t0.95_r0.05_g0.02,353,9,0.02
2025-12-23,356,cvar_t0.95_r0.05_g0.02,354,9,0.02
2025-12-24,357,cvar_t0.95_r0.05_g0.02,355,9,0.02
2025-12-25,358,cvar_t0.95_r0.05_g0.02,356,9,0.02
2025-12-26,359,cvar_t0.95_r0.05_g0.02,357,9,0.02
2025-12-27,360,cvar_t0.95_r0.05_g0.02,358,9,0.02
2025-12-28,361,cvar_t0.95_r0.05_g0.02,359,9,0.02
2025-12-29,362,cvar_t0.95_r0.05_g0.02,360,9,0.02
2025-12-30,363,nocvar_g0.05,361,11,0.05
2025-12-31,364,nocvar_g0.05,362,11,0.05
