plan_day,step,load_actual_kwh,pv_actual_kwh,plan_grid_kwh,price_actual_yuan_per_kwh,price_forecast_yuan_per_kwh
2025-02-25,35,883.7016666666666,0.0,19.315333333333346,1.0411,1.0015
2025-02-25,36,861.2718333333333,0.0,47.65829166666674,1.0197,1.0192
2025-02-25,37,847.6230666666667,2.4577,858.20131,0.9719,0.9545
2025-02-25,38,884.1033333333332,19.675,5.749166666666838,1.0264,1.0043
2025-02-25,39,857.7885666666666,61.113416666666666,0.0,0.9609,1.0314
2025-02-25,40,853.8773166666666,117.69944999999998,770.3831253333334,0.9289,0.988
2025-02-25,41,891.4216666666666,174.72499999999997,688.6758333333332,0.9725,0.9154
2025-02-25,42,896.2868166666667,222.40983333333327,651.2008199999999,0.9607,0.8953
2025-02-25,43,891.1857833333333,273.22096666666664,630.0919,0.9074,0.9144
2025-02-25,44,875.9283333333333,332.05625,573.6858333333333,0.8449,0.8899
2025-02-25,45,846.9490999999999,389.9283,1314.3501116666666,0.8177,0.7962
2025-02-25,46,968.2316333333332,436.03285,113.705941466667,0.9866,0.9896
2025-02-25,47,1159.638333333333,485.78125,0.0,1.2429,1.3471
2025-02-25,48,1162.7106166666667,564.2574,0.0,1.2882,1.3605
2025-02-25,49,1143.0796666666663,631.5664666666667,0.0,1.2503,1.2685
2025-02-25,50,1175.6333333333332,686.625,0.0,1.2152,1.2676
2025-02-25,51,1166.919666666667,766.1741499999999,0.0,1.1403,1.2994
2025-02-25,52,1147.7556833333333,838.5124166666666,0.0,1.0751,1.2411
2025-02-25,53,1136.0316666666663,891.7437499999999,0.0,1.0548,1.1441
2025-02-25,54,1117.218483333333,946.1178333333334,0.0,1.0661,1.1713
2025-02-25,55,1129.083033333333,1000.2908833333332,0.0,1.0571,1.1846
2025-02-25,56,1159.505,1045.31875,0.0,1.0193,1.1106
2025-02-25,57,1153.8503166666665,1077.2174833333331,0.0,0.9883,1.0197
2025-02-25,58,1139.87305,1117.5728166666663,168.48461999999975,0.9668,0.9844
2025-02-25,59,1134.0383333333332,1161.86875,0.0,0.9555,0.9956
2025-02-25,60,1128.1842166666663,1183.647333333333,0.0,0.9571,0.9912
2025-02-25,61,1143.7788999999998,1198.5901,0.0,0.9571,1.0164
2025-02-25,62,1160.118333333333,1229.90625,0.0,0.9545,1.0603
2025-02-25,63,1133.018733333333,1281.0383166666666,0.0,0.935,1.0328
2025-02-25,64,1120.894633333333,1293.6530333333333,0.0,0.7677,0.8694
2025-02-25,65,1134.775,1281.20625,807.8441666666663,0.5436,0.6639
2025-02-25,66,1125.0749,1317.0812833333332,780.6913299999999,0.5029,0.5962
2025-02-25,67,1095.303666666667,1366.9300333333333,739.9425383333335,0.4894,0.5902
2025-02-25,68,1090.6683333333333,1399.0812499999995,719.372333333333,0.4499,0.5835
2025-02-25,69,1139.2403333333332,1407.54045,751.2388039999996,0.4863,0.5828
2025-02-25,70,1099.8211,1369.5482166666666,744.9273983333333,0.5057,0.5596
2025-02-25,71,1010.0566666666666,1321.5124999999998,706.7761666666668,0.4775,0.5372
2025-02-25,72,1044.1677666666665,1329.070516666667,695.5014649999996,0.4683,0.5676
2025-02-25,73,1045.9293666666667,1324.36955,702.7998573333332,0.4794,0.5738
2025-02-25,74,981.485,1304.93125,701.8925000000002,0.4579,0.5298
2025-02-25,75,984.39795,1332.2713166666667,696.3968283333331,0.3966,0.5198
2025-02-25,76,1029.4323833333333,1330.1386,723.9008216666666,0.5963,0.7176
2025-02-25,77,1076.1366666666663,1278.75625,0.0,0.9427,0.9764
2025-02-25,78,1108.5506,1238.84025,0.0,0.9916,0.9581
2025-02-25,79,1103.3492166666665,1224.04305,0.0,0.9382,0.9127
2025-02-25,80,1074.263333333333,1212.50625,0.0,0.9308,0.9551
2025-02-25,81,1060.00115,1173.74965,0.0,0.9166,0.9612
2025-02-25,82,1043.9659833333333,1132.67725,15.898841666666613,0.8879,0.9889
2025-02-25,83,1030.57,1104.0875,0.0,0.8801,1.0328
2025-02-25,84,1043.9950666666666,1073.4319666666663,65.67787166666653,0.93,1.0139
2025-02-25,85,1048.0252833333334,1008.2646,84.12824333333333,0.9691,1.0052
2025-02-25,86,1027.0483333333332,933.0,0.0,0.9949,1.0434
2025-02-25,87,1004.87075,904.8712333333332,0.0,1.0416,1.0746
2025-02-25,88,1016.2701,870.9220999999999,207.0942933333332,0.9334,0.9918
2025-02-25,89,1045.0916666666667,813.975,287.2120833333331,0.751,0.853
2025-02-25,90,1038.850233333333,766.7879833333333,322.68672333333313,0.7705,0.829
2025-02-25,91,1012.9575166666666,707.6251333333332,338.8120099999999,0.8181,0.8361
2025-02-25,92,1002.7783333333332,640.26875,790.0667983539088,0.8044,0.8274
2025-02-25,93,1028.6895666666665,595.3195833333333,440.0561233333333,0.8178,0.8394
2025-02-25,94,1043.6986,552.3364333333333,497.9758783333333,0.8561,0.8338
2025-02-25,95,1032.9766666666665,501.89375,536.9033333333334,0.892,0.8431
2025-02-25,96,1026.108966666667,454.4586833333333,583.8290533333334,0.9041,0.9355
2025-02-25,97,1033.1221333333333,403.318,641.3878133333333,0.8938,0.9696
2025-02-25,98,1033.9433333333332,339.5875,706.0645833333334,0.9127,0.9327
2025-02-25,99,1004.4486333333332,263.91005,772.5834583333332,1.0055,0.9543
2025-02-25,100,999.6578666666666,204.047,827.6112466666666,1.0225,1.0052
2025-02-25,101,1018.7533333333332,162.00625,870.6362499999998,0.974,1.042
2025-02-25,102,1006.01245,113.80423333333331,914.2672183333332,1.0177,1.055
2025-02-25,103,989.14435,61.74183333333333,963.9038366666666,1.073,1.0578
2025-02-25,104,1005.55,20.125,1018.6575,1.0862,1.0746
2025-02-25,105,1039.2773499999998,2.5028166666666665,1037.4629623333333,1.1014,1.1236
2025-02-25,106,921.21825,0.0,904.35522,1.1942,1.1784
2025-02-25,107,722.9333333333334,0.0,716.5196666666667,1.2991,1.2276
2025-02-25,108,698.4551833333333,0.1261833333333333,0.0,1.2769,1.2731
2025-02-25,109,722.3772833333334,0.0,0.0,1.2747,1.269
2025-02-25,110,707.3399999999999,0.0,709.9791666666666,1.3107,1.2379
2025-02-25,111,699.0027,0.0090666666666666,733.26524,1.2621,1.2566
2025-02-25,112,728.57415,0.0,0.0,1.244,1.2961
2025-02-25,113,762.01,0.0,0.0,1.2891,1.3093
2025-02-25,114,735.8950166666666,0.00065,0.0,1.3084,1.2802
2025-02-25,115,707.4560333333334,0.0,0.0,1.3034,1.2801
2025-02-25,116,708.7749999999999,0.0,0.0,1.2945,1.3064
2025-02-25,117,718.0705166666667,0.0,0.0,1.2922,1.2878
2025-02-25,118,722.3977,0.0,732.8688583333334,1.2932,1.257
2025-02-25,119,721.2933333333333,0.0,34.08323366666639,1.2913,1.2639
2025-02-25,120,719.9210166666667,0.0,0.0,1.2841,1.3146
2025-02-25,121,708.5522833333332,0.0,0.0,1.2844,1.2933
2025-02-25,122,701.6166666666666,0.0,738.8921666666666,1.2999,1.2528
2025-02-25,123,723.6574833333334,0.0,0.0,1.301,1.3234
2025-02-25,124,730.4881,0.0,722.6277866666666,1.1563,1.1722
2025-02-25,125,723.31,0.0,723.1241666666666,0.9578,0.8939
2025-02-25,126,743.6490833333334,0.0,726.7848766666666,0.944,0.9311
2025-02-25,127,745.9372833333333,0.0,724.3023883333333,0.9531,0.9579
2025-02-25,128,733.1466666666666,0.0,735.8593333333332,0.9393,0.8985
2025-02-25,129,741.5144,0.0,744.2575916666667,0.9762,0.9689
2025-02-25,130,664.7912166666666,0.0,656.6851583333333,0.7627,0.7845
2025-02-25,131,553.045,0.0,521.0034366666666,0.4235,0.4324
2025-02-25,132,569.4568666666667,0.0,529.44205,0.4158,0.4218
2025-02-25,133,567.4899166666667,0.0,557.9781066666666,0.4519,0.4573
2025-02-25,134,519.1016666666667,0.0,1368.5553333333332,0.4005,0.397
2025-02-25,135,541.7050166666667,0.0,857.1093166666758,0.4179,0.4117
2025-02-25,136,547.9275666666666,0.0,542.2725316666666,0.4251,0.4752
2025-02-25,137,523.5016666666667,0.0,565.3076666666666,0.398,0.4945
2025-02-25,138,550.03625,0.0,556.37312,0.4048,0.4145
2025-02-25,139,588.1612166666666,0.0,1388.2940083333333,0.4162,0.3777
2025-02-25,140,599.2666666666667,0.0,1405.951,0.4186,0.4062
2025-02-25,141,581.19875,0.0,1406.0060383333332,0.4264,0.3913
2025-02-25,142,548.6581666666666,0.0,1388.7580749999995,0.4038,0.3776
2025-02-25,143,534.0716666666666,0.0,1375.206333333333,0.3725,0.3882
