day_index,plan_day,issue_time,planned_initial_energy_kwh,executed_initial_energy_kwh,upstream_planned_initial_energy_kwh,planned_initial_source,q0_source
157,2025-06-07,2025-06-07,7684.904292963265,7723.148277963265,3810.7053622222206,previous_confirmed_contract_and_last_release,Q4_causal_callback
158,2025-06-08,2025-06-08,7955.265190046286,8023.285916898139,4131.907928518519,previous_confirmed_contract_and_last_release,Q4_causal_callback
159,2025-06-09,2025-06-09,3770.9887313433683,3775.7336433804053,6211.351269247556,previous_confirmed_contract_and_last_release,Q4_causal_callback
160,2025-06-10,2025-06-10,5335.804264370367,5309.275541870367,5218.286417499991,previous_confirmed_contract_and_last_release,Q4_causal_callback
161,2025-06-11,2025-06-11,4600.388227992777,4578.527572992776,6071.790833222219,previous_confirmed_contract_and_last_release,Q4_causal_callback
162,2025-06-12,2025-06-12,5223.793856222221,5248.7618654814805,5674.653162296298,previous_confirmed_contract_and_last_release,Q4_causal_callback
163,2025-06-13,2025-06-13,3712.235975067182,3729.633796317182,5981.653038499998,previous_confirmed_contract_and_last_release,Q4_causal_callback
164,2025-06-14,2025-06-14,8804.215295037035,8781.917990037036,5711.24960944333,previous_confirmed_contract_and_last_release,Q4_causal_callback
165,2025-06-15,2025-06-15,8197.451577411895,8303.472943152636,5926.126828609046,previous_confirmed_contract_and_last_release,Q4_causal_callback
166,2025-06-16,2025-06-16,6129.547010430811,6149.929066680811,8153.99026464815,previous_confirmed_contract_and_last_release,Q4_causal_callback
167,2025-06-17,2025-06-17,5571.495130698856,5582.273485698855,8256.154769537035,previous_confirmed_contract_and_last_release,Q4_causal_callback
168,2025-06-18,2025-06-18,5272.232204764961,5293.838527264961,6470.80924780087,previous_confirmed_contract_and_last_release,Q4_causal_callback
169,2025-06-19,2025-06-19,4150.475674275461,4165.886257608795,7442.033417796297,previous_confirmed_contract_and_last_release,Q4_causal_callback
170,2025-06-20,2025-06-20,8024.991329635715,7966.884475885715,7741.654415609739,previous_confirmed_contract_and_last_release,Q4_causal_callback
171,2025-06-21,2025-06-21,10800.0,10800.0,7739.945904240743,previous_confirmed_contract_and_last_release,Q4_causal_callback
172,2025-06-22,2025-06-22,9276.072131935189,9305.537003185189,8209.585041407407,previous_confirmed_contract_and_last_release,Q4_causal_callback
173,2025-06-23,2025-06-23,5321.493745844726,5310.682210844726,7528.827377500003,previous_confirmed_contract_and_last_release,Q4_causal_callback
174,2025-06-24,2025-06-24,4331.427267917433,4323.249207732248,7627.360291203703,previous_confirmed_contract_and_last_release,Q4_causal_callback
175,2025-06-25,2025-06-25,4417.47993384594,4389.387012549643,5615.735776500001,previous_confirmed_contract_and_last_release,Q4_causal_callback
176,2025-06-26,2025-06-26,4205.07869427472,4204.7517767747195,7828.336054398723,previous_confirmed_contract_and_last_release,Q4_causal_callback
177,2025-06-27,2025-06-27,4271.811999835185,4257.270936085185,6870.584165831481,previous_confirmed_contract_and_last_release,Q4_causal_callback
178,2025-06-28,2025-06-28,10800.0,10800.0,7836.57430338889,previous_confirmed_contract_and_last_release,Q4_causal_callback
179,2025-06-29,2025-06-29,10800.0,10735.303703703705,8046.041792703708,previous_confirmed_contract_and_last_release,Q4_causal_callback
180,2025-06-30,2025-06-30,5654.873474550154,5626.684330800154,8370.583060629628,previous_confirmed_contract_and_last_release,Q4_causal_callback
181,2025-07-01,2025-07-01,5514.263302317904,5343.683426716052,7546.664870814808,previous_confirmed_contract_and_last_release,Q4_causal_callback
182,2025-07-02,2025-07-02,2923.621262657278,2922.4374964072776,4061.948072962963,previous_confirmed_contract_and_last_release,Q4_causal_callback
183,2025-07-03,2025-07-03,2496.998738559709,2520.253036059709,3704.5180837037033,previous_confirmed_contract_and_last_release,Q4_causal_callback
184,2025-07-04,2025-07-04,2920.6677490048655,2979.3008965048657,3748.6581365740735,previous_confirmed_contract_and_last_release,Q4_causal_callback
185,2025-07-05,2025-07-05,6619.885321985338,6626.291416985338,3767.333893148147,previous_confirmed_contract_and_last_release,Q4_causal_callback
186,2025-07-06,2025-07-06,6665.794607158068,6673.175162713624,3742.0253886111113,previous_confirmed_contract_and_last_release,Q4_causal_callback
187,2025-07-07,2025-07-07,1691.5830845370353,1661.2832743518502,3933.049715855555,previous_confirmed_contract_and_last_release,Q4_causal_callback
188,2025-07-08,2025-07-08,1506.118535966847,1562.7380035594397,3830.96663925926,previous_confirmed_contract_and_last_release,Q4_causal_callback
189,2025-07-09,2025-07-09,3531.6541151111064,3569.329957703699,6541.419654981483,previous_confirmed_contract_and_last_release,Q4_causal_callback
190,2025-07-10,2025-07-10,3364.5258805740746,3377.7106855740744,5893.156856656051,previous_confirmed_contract_and_last_release,Q4_causal_callback
191,2025-07-11,2025-07-11,3188.1155396823324,3250.8601984323323,5678.653550765742,previous_confirmed_contract_and_last_release,Q4_causal_callback
192,2025-07-12,2025-07-12,3103.5692309727656,3034.826897639432,5840.9353560351865,previous_confirmed_contract_and_last_release,Q4_causal_callback
193,2025-07-13,2025-07-13,3714.2430140810166,3716.1542038958314,5945.767388582225,previous_confirmed_contract_and_last_release,Q4_causal_callback
194,2025-07-14,2025-07-14,2209.9362098913593,2223.9055148913594,6309.3794441826685,previous_confirmed_contract_and_last_release,Q4_causal_callback
195,2025-07-15,2025-07-15,2647.906699948305,2741.501579577934,6257.818744759257,previous_confirmed_contract_and_last_release,Q4_causal_callback
196,2025-07-16,2025-07-16,3002.2955057749996,2999.1152582749996,9988.728102648602,previous_confirmed_contract_and_last_release,Q4_causal_callback
197,2025-07-17,2025-07-17,3488.275124330243,3518.7534930802435,7921.080740634257,previous_confirmed_contract_and_last_release,Q4_causal_callback
198,2025-07-18,2025-07-18,2791.0177092196136,2801.7327454696133,9837.267506894836,previous_confirmed_contract_and_last_release,Q4_causal_callback
199,2025-07-19,2025-07-19,3278.7508348140436,3326.0875798140432,8525.565383888888,previous_confirmed_contract_and_last_release,Q4_causal_callback
200,2025-07-20,2025-07-20,3460.597056803862,3398.1372651371958,8554.438101007225,previous_confirmed_contract_and_last_release,Q4_causal_callback
201,2025-07-21,2025-07-21,3494.9898723966016,3513.4227011466014,8997.21219168496,previous_confirmed_contract_and_last_release,Q4_causal_callback
202,2025-07-22,2025-07-22,3229.320610973509,3210.256053473509,9817.037976217653,previous_confirmed_contract_and_last_release,Q4_causal_callback
203,2025-07-23,2025-07-23,3058.9883358418206,3066.7593483418204,8344.70648566667,previous_confirmed_contract_and_last_release,Q4_causal_callback
204,2025-07-24,2025-07-24,2742.9572717399665,2689.154521739966,7537.696612959077,previous_confirmed_contract_and_last_release,Q4_causal_callback
205,2025-07-25,2025-07-25,3089.179554286268,3056.1894055362677,8016.707889563372,previous_confirmed_contract_and_last_release,Q4_causal_callback
