day_index,plan_day,issue_time,planned_initial_energy_kwh,executed_initial_energy_kwh,upstream_planned_initial_energy_kwh,planned_initial_source,q0_source
31,2025-02-01,2025-02-01,3697.639790203704,3717.3494902037037,3696.146990203704,previous_confirmed_contract_and_last_release,Q2_G_direct
32,2025-02-02,2025-02-02,4286.456538475305,4287.498483475305,4265.419233475304,previous_confirmed_contract_and_last_release,Q2_G_direct
33,2025-02-03,2025-02-03,5186.449554651806,5183.813042151806,5162.784542151806,previous_confirmed_contract_and_last_release,Q2_G_direct
34,2025-02-04,2025-02-04,5139.193544777778,5134.302134777778,5129.671634777778,previous_confirmed_contract_and_last_release,Q2_G_direct
35,2025-02-05,2025-02-05,4799.110229490755,4820.794488240755,4783.475988240755,previous_confirmed_contract_and_last_release,Q2_G_direct
36,2025-02-06,2025-02-06,4859.88181736224,4885.207464862241,4848.43646486224,previous_confirmed_contract_and_last_release,Q2_G_direct
37,2025-02-07,2025-02-07,4722.946680778577,4749.9950895285765,4708.850839528576,previous_confirmed_contract_and_last_release,Q2_G_direct
38,2025-02-08,2025-02-08,3700.951045074075,3719.923945074075,3683.091445074075,previous_confirmed_contract_and_last_release,Q2_G_direct
39,2025-02-09,2025-02-09,4780.66853802926,4820.993390529261,4783.22639052926,previous_confirmed_contract_and_last_release,Q2_G_direct
40,2025-02-10,2025-02-10,5430.541653731487,5433.878707481487,4636.979442685186,previous_confirmed_contract_and_last_release,Q2_G_direct
41,2025-02-11,2025-02-11,5424.110849055007,5392.842081555007,5402.405331555007,previous_confirmed_contract_and_last_release,Q2_G_direct
42,2025-02-12,2025-02-12,4967.297845879628,4979.2592096296285,4943.291459629629,previous_confirmed_contract_and_last_release,Q2_G_direct
43,2025-02-13,2025-02-13,4588.221339120372,4609.613450370372,4578.371450370372,previous_confirmed_contract_and_last_release,Q2_G_direct
44,2025-02-14,2025-02-14,5158.107019815741,5163.896479815741,5136.213979815741,previous_confirmed_contract_and_last_release,Q2_G_direct
45,2025-02-15,2025-02-15,4652.836891487082,4638.423601487082,4645.231351487082,previous_confirmed_contract_and_last_release,Q2_G_direct
46,2025-02-16,2025-02-16,4219.40322,4234.73262,4225.42437,previous_confirmed_contract_and_last_release,Q2_G_direct
47,2025-02-17,2025-02-17,4288.39525074074,4325.63635074074,4297.51885074074,previous_confirmed_contract_and_last_release,Q2_G_direct
48,2025-02-18,2025-02-18,4410.846240277208,4432.493201527209,4408.262201527208,previous_confirmed_contract_and_last_release,Q2_G_direct
49,2025-02-19,2025-02-19,4468.801396893692,4486.150036893692,4485.634786893692,previous_confirmed_contract_and_last_release,Q2_G_direct
50,2025-02-20,2025-02-20,4059.11733824074,4026.4196900925917,4050.34083824074,previous_confirmed_contract_and_last_release,Q2_G_direct
51,2025-02-21,2025-02-21,4357.492908287037,4345.694062037037,4355.368312037037,previous_confirmed_contract_and_last_release,Q2_G_direct
52,2025-02-22,2025-02-22,4625.410446185183,4597.371101462961,4623.987073685184,previous_confirmed_contract_and_last_release,Q2_G_direct
53,2025-02-23,2025-02-23,4755.966388966263,4708.217309707004,4282.025878721664,previous_confirmed_contract_and_last_release,Q2_G_direct
54,2025-02-24,2025-02-24,4398.449130972217,4394.8677647222175,4395.560764722218,previous_confirmed_contract_and_last_release,Q2_G_direct
55,2025-02-25,2025-02-25,4508.4950048595665,4541.335697359566,4391.969021851852,previous_confirmed_contract_and_last_release,Q2_G_direct
56,2025-02-26,2025-02-26,4226.335806342594,4235.833300092594,4199.411089018523,previous_confirmed_contract_and_last_release,Q2_G_direct
57,2025-02-27,2025-02-27,4674.693211472227,4673.324135222226,4439.825971203703,previous_confirmed_contract_and_last_release,Q2_G_direct
58,2025-02-28,2025-02-28,4415.087122561499,4435.491948811499,4415.103198811499,previous_confirmed_contract_and_last_release,Q2_G_direct
59,2025-03-01,2025-03-01,4457.1766492328525,4444.719895482853,4443.881395482853,previous_confirmed_contract_and_last_release,Q2_G_direct
60,2025-03-02,2025-03-02,4382.31332236111,4402.45108111111,4377.224081111111,previous_confirmed_contract_and_last_release,Q2_G_direct
61,2025-03-03,2025-03-03,4405.7878598148145,4400.237154814814,4408.208154814814,previous_confirmed_contract_and_last_release,Q2_G_direct
62,2025-03-04,2025-03-04,4420.354115138889,4412.685976388889,4419.576976388889,previous_confirmed_contract_and_last_release,Q2_G_direct
63,2025-03-05,2025-03-05,4281.107788740737,4231.9398767037,4260.690163740737,previous_confirmed_contract_and_last_release,Q2_G_direct
64,2025-03-06,2025-03-06,4303.473308842593,4278.97495675926,4299.334040092593,previous_confirmed_contract_and_last_release,Q2_G_direct
65,2025-03-07,2025-03-07,4572.822708886297,4557.26894059926,4587.510727636297,previous_confirmed_contract_and_last_release,Q2_G_direct
66,2025-03-08,2025-03-08,4367.491576351846,4388.568826351846,4372.363576351846,previous_confirmed_contract_and_last_release,Q2_G_direct
67,2025-03-09,2025-03-09,4504.64756235185,4515.96506235185,4495.26206235185,previous_confirmed_contract_and_last_release,Q2_G_direct
68,2025-03-10,2025-03-10,4626.849839834932,4625.974259834931,4625.751509834931,previous_confirmed_contract_and_last_release,Q2_G_direct
69,2025-03-11,2025-03-11,4221.706706527778,4207.371952592593,4217.170387777778,previous_confirmed_contract_and_last_release,Q2_G_direct
70,2025-03-12,2025-03-12,4983.278910824072,5001.638442074072,4986.282192074073,previous_confirmed_contract_and_last_release,Q2_G_direct
71,2025-03-13,2025-03-13,4143.647841296296,4138.268136296296,4143.360636296296,previous_confirmed_contract_and_last_release,Q2_G_direct
72,2025-03-14,2025-03-14,4177.061536712962,4176.2451879629625,4172.533437962963,previous_confirmed_contract_and_last_release,Q2_G_direct
73,2025-03-15,2025-03-15,4466.401728823497,4504.1437988234975,4478.888298823497,previous_confirmed_contract_and_last_release,Q2_G_direct
74,2025-03-16,2025-03-16,4230.8842655277795,4194.452507611112,4230.934924277779,previous_confirmed_contract_and_last_release,Q2_G_direct
75,2025-03-17,2025-03-17,4721.100309620368,4697.725565870368,4722.268565870368,previous_confirmed_contract_and_last_release,Q2_G_direct
76,2025-03-18,2025-03-18,5385.000665819448,5397.6356158194485,5357.280481849335,previous_confirmed_contract_and_last_release,Q2_G_direct
77,2025-03-19,2025-03-19,4524.808139074069,4512.921359074069,4452.736570166662,previous_confirmed_contract_and_last_release,Q2_G_direct
78,2025-03-20,2025-03-20,4804.080483842597,4822.298572592596,4776.765977256521,previous_confirmed_contract_and_last_release,Q2_G_direct
79,2025-03-21,2025-03-21,4359.017815185183,4378.487612685183,4360.146362685184,previous_confirmed_contract_and_last_release,Q2_G_direct
80,2025-03-22,2025-03-22,4604.641604861112,4595.636096111111,4527.92104618267,previous_confirmed_contract_and_last_release,Q2_G_direct
81,2025-03-23,2025-03-23,4991.969295934633,4964.450670934633,4861.207622681758,previous_confirmed_contract_and_last_release,Q2_G_direct
82,2025-03-24,2025-03-24,4378.100169367622,4409.313220293548,4396.152220293548,previous_confirmed_contract_and_last_release,Q2_G_direct
83,2025-03-25,2025-03-25,4736.621865682409,4724.58337193241,4362.933917431289,previous_confirmed_contract_and_last_release,Q2_G_direct
84,2025-03-26,2025-03-26,4175.669630464441,4170.525080464441,4042.260566111112,previous_confirmed_contract_and_last_release,Q2_G_direct
85,2025-03-27,2025-03-27,4572.359874370373,4577.014209370373,4566.040963074078,previous_confirmed_contract_and_last_release,Q2_G_direct
86,2025-03-28,2025-03-28,4567.783624407981,4566.706088157981,4334.73289134385,previous_confirmed_contract_and_last_release,Q2_G_direct
87,2025-03-29,2025-03-29,4714.230064935185,4664.5690159074065,4698.887543685184,previous_confirmed_contract_and_last_release,Q2_G_direct
88,2025-03-30,2025-03-30,4929.241737083336,4938.740430833336,4484.021250381485,previous_confirmed_contract_and_last_release,Q2_G_direct
89,2025-03-31,2025-03-31,5295.84588855624,5280.58656855624,5286.91956855624,previous_confirmed_contract_and_last_release,Q2_G_direct
90,2025-04-01,2025-04-01,4669.168151843527,4676.446545593527,4498.119026334268,previous_confirmed_contract_and_last_release,Q2_G_direct
91,2025-04-02,2025-04-02,4516.348601296294,4510.295291296295,4461.719692500001,previous_confirmed_contract_and_last_release,Q2_G_direct
92,2025-04-03,2025-04-03,4305.34456101852,4327.25044101852,4303.20619101852,previous_confirmed_contract_and_last_release,Q2_G_direct
93,2025-04-04,2025-04-04,4662.537918246648,4692.364686996647,4650.1760825151705,previous_confirmed_contract_and_last_release,Q2_G_direct
94,2025-04-05,2025-04-05,4829.4622631018565,4840.995579351857,4833.885579351856,previous_confirmed_contract_and_last_release,Q2_G_direct
95,2025-04-06,2025-04-06,4327.625338819093,4348.343065069093,4326.341815069093,previous_confirmed_contract_and_last_release,Q2_G_direct
96,2025-04-07,2025-04-07,4684.5977596759285,4711.719855925928,4672.343904111116,previous_confirmed_contract_and_last_release,Q2_G_direct
97,2025-04-08,2025-04-08,4410.372507710925,4397.507892710924,4403.168892710924,previous_confirmed_contract_and_last_release,Q2_G_direct
98,2025-04-09,2025-04-09,4282.556855416668,4264.196184166668,4285.489434166669,previous_confirmed_contract_and_last_release,Q2_G_direct
99,2025-04-10,2025-04-10,4450.631938425924,4456.707313425924,4289.55675787037,previous_confirmed_contract_and_last_release,Q2_G_direct
100,2025-04-11,2025-04-11,4462.437057222223,4463.182932222224,4463.947932222223,previous_confirmed_contract_and_last_release,Q2_G_direct
101,2025-04-12,2025-04-12,4423.161584009286,4439.652940259286,4434.491440259286,previous_confirmed_contract_and_last_release,Q2_G_direct
102,2025-04-13,2025-04-13,4946.998176972224,4938.152058222225,4948.601058222224,previous_confirmed_contract_and_last_release,Q2_G_direct
103,2025-04-14,2025-04-14,4289.207653981482,4323.871281481482,4298.118531481481,previous_confirmed_contract_and_last_release,Q2_G_direct
104,2025-04-15,2025-04-15,4385.6902848703685,4410.407764870368,4396.505014870368,previous_confirmed_contract_and_last_release,Q2_G_direct
105,2025-04-16,2025-04-16,4626.069889796296,4664.034976046296,4630.617976046296,previous_confirmed_contract_and_last_release,Q2_G_direct
106,2025-04-17,2025-04-17,4781.59867330624,4762.18365205624,4338.114457314815,previous_confirmed_contract_and_last_release,Q2_G_direct
107,2025-04-18,2025-04-18,4651.4498634909005,4642.644394740901,4609.517228759256,previous_confirmed_contract_and_last_release,Q2_G_direct
108,2025-04-19,2025-04-19,4930.938942638892,4933.924831388891,4918.244581388892,previous_confirmed_contract_and_last_release,Q2_G_direct
109,2025-04-20,2025-04-20,5078.593207762016,5054.346315262016,5063.555565262016,previous_confirmed_contract_and_last_release,Q2_G_direct
110,2025-04-21,2025-04-21,4878.747842268526,4812.674980925934,4566.552250796302,previous_confirmed_contract_and_last_release,Q2_G_direct
111,2025-04-22,2025-04-22,4313.965381435185,4336.072835185185,4318.5625851851855,previous_confirmed_contract_and_last_release,Q2_G_direct
112,2025-04-23,2025-04-23,4752.525331891403,4700.550609391403,4452.184185252854,previous_confirmed_contract_and_last_release,Q2_G_direct
113,2025-04-24,2025-04-24,5109.299581517608,5110.893691517608,5120.285191517608,previous_confirmed_contract_and_last_release,Q2_G_direct
114,2025-04-25,2025-04-25,4500.945382833505,4488.068212833506,4362.630300000001,previous_confirmed_contract_and_last_release,Q2_G_direct
115,2025-04-26,2025-04-26,4499.4487560185225,4550.645593518523,4521.055843518523,previous_confirmed_contract_and_last_release,Q2_G_direct
116,2025-04-27,2025-04-27,4577.30463061729,4580.51725561729,4206.978860092593,previous_confirmed_contract_and_last_release,Q2_G_direct
117,2025-04-28,2025-04-28,4277.970971296296,4243.263929814815,4287.794411296296,previous_confirmed_contract_and_last_release,Q2_G_direct
118,2025-04-29,2025-04-29,4711.466119861109,4681.421503518516,4442.824657499999,previous_confirmed_contract_and_last_release,Q2_G_direct
119,2025-04-30,2025-04-30,4885.716208629635,4905.747313629635,4875.4465636296345,previous_confirmed_contract_and_last_release,Q2_G_direct
120,2025-05-01,2025-05-01,4792.852222377208,4729.228461173504,4785.693164877208,previous_confirmed_contract_and_last_release,Q2_G_direct
121,2025-05-02,2025-05-02,3506.851737592593,3513.766445092593,3538.131695092593,previous_confirmed_contract_and_last_release,Q2_G_direct
122,2025-05-03,2025-05-03,3685.6358435185184,3669.482684722222,3721.3364810185194,previous_confirmed_contract_and_last_release,Q2_G_direct
123,2025-05-04,2025-05-04,4145.4638236264345,4173.493064367175,4202.629610663471,previous_confirmed_contract_and_last_release,Q2_G_direct
124,2025-05-05,2025-05-05,3854.320581296296,3926.248951666666,3908.630701666666,previous_confirmed_contract_and_last_release,Q2_G_direct
125,2025-05-06,2025-05-06,4119.192073425925,4135.411558425924,4152.026308425924,previous_confirmed_contract_and_last_release,Q2_G_direct
126,2025-05-07,2025-05-07,3789.6479487037054,3802.767032037039,3830.8207820370394,previous_confirmed_contract_and_last_release,Q2_G_direct
127,2025-05-08,2025-05-08,3818.1884587037034,3858.7441207407405,3873.578370740741,previous_confirmed_contract_and_last_release,Q2_G_direct
128,2025-05-09,2025-05-09,4766.1374203271625,4767.156460327163,4215.456000925926,previous_confirmed_contract_and_last_release,Q2_G_direct
129,2025-05-10,2025-05-10,6121.1694962380725,6162.933729988072,6138.7679799880725,previous_confirmed_contract_and_last_release,Q2_G_direct
130,2025-05-11,2025-05-11,5466.803468583332,5475.734704833332,5482.732954833332,previous_confirmed_contract_and_last_release,Q2_G_direct
131,2025-05-12,2025-05-12,5366.437401382361,5364.353567632361,5388.52531763236,previous_confirmed_contract_and_last_release,Q2_G_direct
132,2025-05-13,2025-05-13,5209.648529120946,5254.304466620945,5236.454466620945,previous_confirmed_contract_and_last_release,Q2_G_direct
133,2025-05-14,2025-05-14,5689.479928018515,5744.20699283333,5724.13249283333,previous_confirmed_contract_and_last_release,Q2_G_direct
134,2025-05-15,2025-05-15,5109.586989120368,5167.892142870368,5145.985392870369,previous_confirmed_contract_and_last_release,Q2_G_direct
135,2025-05-16,2025-05-16,6722.135995389663,6727.312094139663,5783.424367255834,previous_confirmed_contract_and_last_release,Q2_G_direct
136,2025-05-17,2025-05-17,6859.605808548693,6835.872613548693,6851.211613548693,previous_confirmed_contract_and_last_release,Q2_G_direct
137,2025-05-18,2025-05-18,6627.103458824073,6612.141690074072,6626.364690074072,previous_confirmed_contract_and_last_release,Q2_G_direct
138,2025-05-19,2025-05-19,6593.268057700047,6574.299920200047,6104.057223440783,previous_confirmed_contract_and_last_release,Q2_G_direct
139,2025-05-20,2025-05-20,6403.1926378703665,6359.498672870367,6394.270172870367,previous_confirmed_contract_and_last_release,Q2_G_direct
140,2025-05-21,2025-05-21,6102.110840189416,6080.025278939416,6081.496778939417,previous_confirmed_contract_and_last_release,Q2_G_direct
141,2025-05-22,2025-05-22,5806.260456704475,5781.110879204474,4869.090267126824,previous_confirmed_contract_and_last_release,Q2_G_direct
142,2025-05-23,2025-05-23,7032.173831506172,7035.497231506172,7017.088481506173,previous_confirmed_contract_and_last_release,Q2_G_direct
143,2025-05-24,2025-05-24,5443.248437487042,5412.193832487042,5429.065082487042,previous_confirmed_contract_and_last_release,Q2_G_direct
144,2025-05-25,2025-05-25,5701.875521424099,5706.6736201741,5675.939370174099,previous_confirmed_contract_and_last_release,Q2_G_direct
145,2025-05-26,2025-05-26,6609.060454162335,6663.870510412335,6603.713760412335,previous_confirmed_contract_and_last_release,Q2_G_direct
146,2025-05-27,2025-05-27,6354.506925694447,6352.184411944448,4568.241843166681,previous_confirmed_contract_and_last_release,Q2_G_direct
147,2025-05-28,2025-05-28,5905.176183696852,5860.609683696851,5875.649433696852,previous_confirmed_contract_and_last_release,Q2_G_direct
148,2025-05-29,2025-05-29,6454.189445406485,6447.208366656486,6412.81254604582,previous_confirmed_contract_and_last_release,Q2_G_direct
149,2025-05-30,2025-05-30,6035.656371545181,6077.342455295181,4834.357768703704,previous_confirmed_contract_and_last_release,Q2_G_direct
150,2025-05-31,2025-05-31,5508.343343333333,5521.898940833333,4820.615001944441,previous_confirmed_contract_and_last_release,Q2_G_direct
151,2025-06-01,2025-06-01,5753.597808905165,5627.127746127388,5742.924273905165,previous_confirmed_contract_and_last_release,Q2_G_direct
152,2025-06-02,2025-06-02,3261.103569907407,3248.49778287037,3356.6250050925923,previous_confirmed_contract_and_last_release,Q2_G_direct
153,2025-06-03,2025-06-03,3131.8860669907403,3151.0588157407406,3218.6120657407405,previous_confirmed_contract_and_last_release,Q2_G_direct
154,2025-06-04,2025-06-04,3969.6723189814816,3968.690397685185,4076.427971759259,previous_confirmed_contract_and_last_release,Q2_G_direct
155,2025-06-05,2025-06-05,3767.9692822222223,3751.879661851852,3838.5468007407408,previous_confirmed_contract_and_last_release,Q2_G_direct
156,2025-06-06,2025-06-06,3489.0937897222216,3454.9733743518514,3579.225744722222,previous_confirmed_contract_and_last_release,Q2_G_direct
157,2025-06-07,2025-06-07,3711.972658518517,3753.1991122222207,3810.7053622222206,previous_confirmed_contract_and_last_release,Q2_G_direct
158,2025-06-08,2025-06-08,4017.4261397685186,4072.5229285185187,4131.907928518519,previous_confirmed_contract_and_last_release,Q2_G_direct
159,2025-06-09,2025-06-09,6135.5343664697775,6140.279278506815,6211.351269247556,previous_confirmed_contract_and_last_release,Q2_G_direct
160,2025-06-10,2025-06-10,5172.380889999991,5145.852167499991,5218.286417499991,previous_confirmed_contract_and_last_release,Q2_G_direct
161,2025-06-11,2025-06-11,6038.289488222218,6016.428833222219,6071.790833222219,previous_confirmed_contract_and_last_release,Q2_G_direct
162,2025-06-12,2025-06-12,5628.493324796298,5648.717412296298,5674.653162296298,previous_confirmed_contract_and_last_release,Q2_G_direct
163,2025-06-13,2025-06-13,5957.686717249998,5975.0845384999975,5981.653038499998,previous_confirmed_contract_and_last_release,Q2_G_direct
164,2025-06-14,2025-06-14,5665.9419144433305,5643.64460944333,5711.24960944333,previous_confirmed_contract_and_last_release,Q2_G_direct
165,2025-06-15,2025-06-15,5874.0302798590465,5964.199828609046,5926.126828609046,previous_confirmed_contract_and_last_release,Q2_G_direct
166,2025-06-16,2025-06-16,8146.376958398149,8166.75901464815,8153.99026464815,previous_confirmed_contract_and_last_release,Q2_G_direct
167,2025-06-17,2025-06-17,8276.704664537036,8287.483019537036,8256.154769537035,previous_confirmed_contract_and_last_release,Q2_G_direct
168,2025-06-18,2025-06-18,6979.317342986052,7000.9236654860515,6470.80924780087,previous_confirmed_contract_and_last_release,Q2_G_direct
169,2025-06-19,2025-06-19,7435.6835952962965,7448.166167796297,7442.033417796297,previous_confirmed_contract_and_last_release,Q2_G_direct
170,2025-06-20,2025-06-20,7747.115019359739,7689.008165609739,7741.654415609739,previous_confirmed_contract_and_last_release,Q2_G_direct
171,2025-06-21,2025-06-21,7763.636562990743,7708.649154240744,7739.945904240743,previous_confirmed_contract_and_last_release,Q2_G_direct
172,2025-06-22,2025-06-22,8242.549420157406,8272.014291407406,8209.585041407407,previous_confirmed_contract_and_last_release,Q2_G_direct
173,2025-06-23,2025-06-23,7560.827912500004,7550.016377500004,7528.827377500003,previous_confirmed_contract_and_last_release,Q2_G_direct
174,2025-06-24,2025-06-24,7648.076269953703,7641.452041203703,7627.360291203703,previous_confirmed_contract_and_last_release,Q2_G_direct
175,2025-06-25,2025-06-25,6360.827088102912,6338.071821852912,5615.735776500001,previous_confirmed_contract_and_last_release,Q2_G_direct
176,2025-06-26,2025-06-26,7847.010221898722,7846.683304398723,7828.336054398723,previous_confirmed_contract_and_last_release,Q2_G_direct
177,2025-06-27,2025-06-27,6890.316729581481,6875.775665831481,6870.584165831481,previous_confirmed_contract_and_last_release,Q2_G_direct
178,2025-06-28,2025-06-28,7857.75821838889,7869.9193033888905,7836.57430338889,previous_confirmed_contract_and_last_release,Q2_G_direct
179,2025-06-29,2025-06-29,8053.793713953708,7990.670792703708,8046.041792703708,previous_confirmed_contract_and_last_release,Q2_G_direct
180,2025-06-30,2025-06-30,8400.619454379628,8372.430310629627,8370.583060629628,previous_confirmed_contract_and_last_release,Q2_G_direct
181,2025-07-01,2025-07-01,7559.346894564808,7391.845370814808,7546.664870814808,previous_confirmed_contract_and_last_release,Q2_G_direct
182,2025-07-02,2025-07-02,3944.371031296296,3942.9095914814816,4061.948072962963,previous_confirmed_contract_and_last_release,Q2_G_direct
183,2025-07-03,2025-07-03,3587.8820362037036,3611.1363337037033,3704.5180837037033,previous_confirmed_contract_and_last_release,Q2_G_direct
184,2025-07-04,2025-07-04,3632.5142390740743,3691.147386574074,3748.6581365740735,previous_confirmed_contract_and_last_release,Q2_G_direct
185,2025-07-05,2025-07-05,3656.6230135185174,3664.531772777777,3767.333893148147,previous_confirmed_contract_and_last_release,Q2_G_direct
186,2025-07-06,2025-07-06,3620.2020830555557,3627.582638611111,3742.0253886111113,previous_confirmed_contract_and_last_release,Q2_G_direct
187,2025-07-07,2025-07-07,3920.976144188889,3890.676334003704,3933.049715855555,previous_confirmed_contract_and_last_release,Q2_G_direct
188,2025-07-08,2025-07-08,4390.385810324075,4436.247579074075,3830.96663925926,previous_confirmed_contract_and_last_release,Q2_G_direct
189,2025-07-09,2025-07-09,6483.8867799814825,6521.053404981483,6541.419654981483,previous_confirmed_contract_and_last_release,Q2_G_direct
190,2025-07-10,2025-07-10,5856.820301656051,5870.005106656051,5893.156856656051,previous_confirmed_contract_and_last_release,Q2_G_direct
191,2025-07-11,2025-07-11,5613.229892015742,5675.974550765742,5678.653550765742,previous_confirmed_contract_and_last_release,Q2_G_direct
192,2025-07-12,2025-07-12,5803.7036460351865,5748.022356035186,5840.9353560351865,previous_confirmed_contract_and_last_release,Q2_G_direct
193,2025-07-13,2025-07-13,5918.197324832225,5919.745388582225,5945.767388582225,previous_confirmed_contract_and_last_release,Q2_G_direct
194,2025-07-14,2025-07-14,6262.277389182669,6276.246694182669,6309.3794441826685,previous_confirmed_contract_and_last_release,Q2_G_direct
195,2025-07-15,2025-07-15,6189.422772259258,6270.501994759257,6257.818744759257,previous_confirmed_contract_and_last_release,Q2_G_direct
196,2025-07-16,2025-07-16,10024.4553501486,10021.275102648602,9988.728102648602,previous_confirmed_contract_and_last_release,Q2_G_direct
197,2025-07-17,2025-07-17,7903.774621884258,7934.252990634257,7921.080740634257,previous_confirmed_contract_and_last_release,Q2_G_direct
198,2025-07-18,2025-07-18,9847.541970644837,9858.257006894837,9837.267506894836,previous_confirmed_contract_and_last_release,Q2_G_direct
199,2025-07-19,2025-07-19,8541.031388888889,8588.368133888887,8525.565383888888,previous_confirmed_contract_and_last_release,Q2_G_direct
200,2025-07-20,2025-07-20,8565.852782257225,8515.260351007226,8554.438101007225,previous_confirmed_contract_and_last_release,Q2_G_direct
201,2025-07-21,2025-07-21,8999.39311293496,9017.82594168496,8997.21219168496,previous_confirmed_contract_and_last_release,Q2_G_direct
202,2025-07-22,2025-07-22,9837.679033717652,9818.614476217652,9817.037976217653,previous_confirmed_contract_and_last_release,Q2_G_direct
203,2025-07-23,2025-07-23,8346.645723166668,8354.41673566667,8344.70648566667,previous_confirmed_contract_and_last_release,Q2_G_direct
204,2025-07-24,2025-07-24,7560.342112959077,7506.539362959077,7537.696612959077,previous_confirmed_contract_and_last_release,Q2_G_direct
205,2025-07-25,2025-07-25,8033.9757883133725,8000.985639563372,8016.707889563372,previous_confirmed_contract_and_last_release,Q2_G_direct
206,2025-07-26,2025-07-26,8718.053641582146,8699.473591582146,8700.034591582145,previous_confirmed_contract_and_last_release,Q2_G_direct
207,2025-07-27,2025-07-27,8745.687285126896,8742.004402626895,8731.812652626895,previous_confirmed_contract_and_last_release,Q2_G_direct
208,2025-07-28,2025-07-28,8547.241058203701,8507.526855703702,8527.409355703701,previous_confirmed_contract_and_last_release,Q2_G_direct
