path,size_bytes,sha256
Q2\results\q2_deep_search\daily\S_MEDOID_V2.csv,59875,b8d9dfa7ce3d872b7d9a1b6cfa364cb55b71b7362ca4966dd82596dd63bc33f4
Q2\results\q2_deep_search\daily\S_REC_002.csv,60507,847845c3c75352856b67bc22574465f76eee8c3be8ad5e217993fb7eba4b6bd7
Q2\results\q2_deep_search\daily\S_REC_002_V2.csv,60268,a457e7f7772a321dbd1fe4c77d793678bbf140079e42abe6d34f2d49f592ce0d
Q2\results\q2_deep_search\daily\S_REC_005.csv,60719,f60e630d79ef83be0041acc81df76baa33e3000286bc34f956fa7931ebc047b2
Q2\results\q2_deep_search\daily\S_REC_005_V2.csv,60483,ee06acff9244417747acff6f69ac8c0ec169e20fa071aa53ba08398e6925b60a
Q2\results\q2_deep_search\daily\S_TREE.csv,60417,aa315cae1af64021f0c94bd67b1c4e851af9c1bb526e04de2b0d9d82e5bdc692
Q2\results\q2_deep_search\daily\S_TREE_V2.csv,60417,aa315cae1af64021f0c94bd67b1c4e851af9c1bb526e04de2b0d9d82e5bdc692
Q2\results\q2_deep_search\daily\T10.csv,54558,49afe3d97a8e8ca5cbc33e57c973af26349c9974fe581f54d634a0e695e30e9f
Q2\results\q2_deep_search\daily\T30.csv,54559,6235d2bc851a668310a97d67c9d2904591149f179278848762b5d184177770f0
Q2\results\q2_deep_search\daily\T40.csv,54559,1d29a444ea15885dc8b682df297ab6ef0bd32f27ce25b97f52b55188bf0b82d3
Q2\results\q2_deep_search\DRO_FEASIBILITY_REPORT.md,384,b13348eed0c64130501ff190bc74ba0b3306fbf3d09b4689143930dca63220d4
Q2\results\q2_deep_search\EXPERIMENT_LOG.csv,18297,48e68ccb4d6bd043f650ffba07d034e546275797c3d371612e78def3ab9b1afb
Q2\results\q2_deep_search\EXPERIMENT_LOG_DETERMINISTIC.csv,12364,648ccbc3981a60831160a4588e7fb4a008ace06ebf9e8a2b36585b11407e8fa0
Q2\results\q2_deep_search\FREEZE_GATE.json,276,e15ed983606dbe9909d8251a980303ec07481d7e16da163aae03d6936fdaf5db
Q2\results\q2_deep_search\FULL_RED_FLAG_AUDIT.csv,906,2bf6864ecb3fc626be79af3a67281e7a207c23357a01879e33531daaac0f85d9
Q2\results\q2_deep_search\FULL_RED_FLAG_AUDIT.json,1938,bcb85c1c1a64f6621cefc8298fddf4cc032af249a6822163682ea0d09078cc63
Q2\results\q2_deep_search\METHOD_REJECTION_TABLE.csv,636,dd53f4f14951d80d38da558a4a2c6a45be2a866ec60f78d52dd0a0c3448e2abb
Q2\results\q2_deep_search\MODULE_VALUE_TABLE.csv,1791,c0e1cd2bada51f2cde852cc188253543ea62fc9a03fd6f28fb0d4d1cbf15425a
Q2\results\q2_deep_search\price_of_robustness.csv,284,5fd200de390e9c83c956ee81b8a3fe199a459df2df4dc7d8e592a96470ff91ce
Q2\results\q2_deep_search\raw\CVAR_90_M.json,1003,04a12ce00307eb8c4d8fc3a87514646461acdd8ca40bf3612c0304f93b9fbbd1
Q2\results\q2_deep_search\raw\CVAR_90_M.npz,859310,0f6ee5fccd65b64ed4a38c01b74df50ed5b93f23f2dfbc2d038f6649b4ae0c74
Q2\results\q2_deep_search\raw\CVAR_90_M_V2.json,1007,1055ca6e05f189e1123616d86eddea913b4c0dd2a3685cda5e4738c2efec643b
Q2\results\q2_deep_search\raw\CVAR_90_M_V2.npz,858327,3bba8c70de556091eacfb238e4eeea2f74657ce360d6ce3e9fbf03327040708d
Q2\results\q2_deep_search\raw\CVAR_90_S.json,1010,26685f9a7c04f6a141f4eb10afb480848f208ff9ed4dd4d90fc41bcfdb36ff85
Q2\results\q2_deep_search\raw\CVAR_90_S.npz,865343,590f313fabfa53fdf10186429d2e6a7ab0dc57cf4cba5de571f929a4b1d7cbdb
Q2\results\q2_deep_search\raw\CVAR_90_S_V2.json,1004,fce5d9e314a661b19c2b3dc44d2037646a49e070954e5f2e02d11142653ffda5
Q2\results\q2_deep_search\raw\CVAR_90_S_V2.npz,864112,0751d8ada4ce5752f44819ae584c838e3351bf166e288fca51628d7243b8009c
Q2\results\q2_deep_search\raw\CVAR_95_M.json,1006,4dc76f416cc6fd3ced61a79c886baa24e3738ec27c2164466e547f70074543be
Q2\results\q2_deep_search\raw\CVAR_95_M.npz,858179,17410e681114bfdcc1cb7c56f8e1dd667a61c9cfb66400adb64a0b65df0cb003
Q2\results\q2_deep_search\raw\CVAR_95_M_V2.json,1007,93c62eeab057e07d2594573cae4d56ae349e75990a06aa48bb2ea82a674c396a
Q2\results\q2_deep_search\raw\CVAR_95_M_V2.npz,857190,61d5ded1f69ea048b3723defe97d801fce2764ae135f98933ebead9a693ab8e8
Q2\results\q2_deep_search\raw\CVAR_95_S.json,1010,c3b0f0aae33fd60b62aaad10f53aabe1e18d083a6312d383b35d8f1b845d76b8
Q2\results\q2_deep_search\raw\CVAR_95_S.npz,865284,2453793dcba1f058677286514017328dffa97ee341ac76d565f72fe00beb8cc9
Q2\results\q2_deep_search\raw\CVAR_95_S_V2.json,1008,13d4c5d93f80938dbd9a34724a847dfe23d13ebe513fb5ecd912212cc4820b54
Q2\results\q2_deep_search\raw\CVAR_95_S_V2.npz,864006,acfd1605d8a5e5be04f28580aa935e42e0c6585dd491e0d71aaf550b2ee416d7
Q2\results\q2_deep_search\raw\CVAR_CAL_SELECTED.json,1006,6a19555f5832680c96af19d23131e684caad3362c2581d7267e4032dcfcbfea1
Q2\results\q2_deep_search\raw\CVAR_CAL_SELECTED.npz,862745,00b5a866decb3439375fa3c9d3700a707551331201a48bd1aea213265892d9a7
Q2\results\q2_deep_search\raw\CVAR_CAL_SELECTED_V2.json,1006,2b1fba80e7ebb41c6ec52506e9c26645afad901bf10f43c30ad61c191e4187eb
Q2\results\q2_deep_search\raw\CVAR_CAL_SELECTED_V2.npz,862745,00b5a866decb3439375fa3c9d3700a707551331201a48bd1aea213265892d9a7
Q2\results\q2_deep_search\raw\F00.json,793,50c8a47b94a6d591b6fc450c0f9941bd0a90145f0540f0501a1ae23caff48c19
Q2\results\q2_deep_search\raw\F00.npz,805405,d4776268782767a882474731b36c376f518f464335f62475a83ed1bbb683213f
Q2\results\q2_deep_search\raw\F01.json,800,0dc2bf4780e1346729d3fa0665b19647358aabf8fe85661354261784ae651e01
Q2\results\q2_deep_search\raw\F01.npz,824645,ca5d5aec03fc1152c38a27245fa6c7f5f60987c2b7c7f185fc7e067a41b12df5
Q2\results\q2_deep_search\raw\F02.json,799,3da9a4db9a66451f5d6ffe9565b51fae6735032362ddbd1cf2d5a92be512f0e9
Q2\results\q2_deep_search\raw\F02.npz,829348,07a22cc700231f04da3e3c8baf569506aca15a794cdc93dd952e5fda33c8b860
Q2\results\q2_deep_search\raw\F03.json,806,164b9cd965df81e6fb627354e4b3957b0fc618f36edecb4ffb08fe5dc2ac2bcd
Q2\results\q2_deep_search\raw\F03.npz,853752,a73256f23c192d8ebb5a16a5e62835fbd1c06b56860d58dfd85f6a013d2ff3b6
Q2\results\q2_deep_search\raw\F04.json,806,313e08035ad940ade325c0848b76b3d3ec50fe813dea95c87b85fbce30266769
Q2\results\q2_deep_search\raw\F04.npz,854447,9bd802a78e61599d7eef72ff86fb11bae6195aa67c7aced1dbc69fd616a92c51
Q2\results\q2_deep_search\raw\F05.json,806,8ef52321d4319e559eb2853494e2a80c59bba3c376f80dc713392510739063d2
Q2\results\q2_deep_search\raw\F05.npz,855081,d6ce1e73a446393730820b639d82cb5703585089c6bfa2db5fb689dc2c73209a
Q2\results\q2_deep_search\raw\F06.json,789,3e1500728c3d66ffc4dd27d6f7d97bcc8207ed704127cc49a28826c6ebdb7967
Q2\results\q2_deep_search\raw\F06.npz,840132,d8fd25395067615011f1e80e614337f15b52f39130efa8ba0793c4c5ea1e6f80
Q2\results\q2_deep_search\raw\F07.json,789,e542fb1a1c56f7e234d158982240a26ca5c24f1b4e8060c86e656cee2baf196f
Q2\results\q2_deep_search\raw\F07.npz,824570,ecd5a524f94dd671d870bc23ef015a501b8023215590deadf85397f37ddf5b1c
Q2\results\q2_deep_search\raw\F08.json,796,1bb66564d6cde4715b70e93ae39b2270a3bd994410084ef46fac6a5fef9494a0
Q2\results\q2_deep_search\raw\F08.npz,844884,43f5aad4e5fa17ea6dc7b8a2243cfa966c16de771ae2be996e5e31c305862cce
Q2\results\q2_deep_search\raw\F09.json,788,1c672a77f8fc73537dae65e5f7e1e8904d6064385b7e67bacebec0ffe6131f86
Q2\results\q2_deep_search\raw\F09.npz,851620,3a3c5547da6272c4080deb99b569bc82b6d17cb8576899476175a5a14ff5e49d
Q2\results\q2_deep_search\raw\F10.json,790,e15128288412b43b1ca0f0cbd7c09afcf9131ce3593e7b959f576ce45f6bb6a8
Q2\results\q2_deep_search\raw\F10.npz,829362,4a8629e93fbc31456f9ed6a4fa8ff87afd97e9e069319d5c35c105e7f6fad64a
Q2\results\q2_deep_search\raw\F11.json,789,4dba8fb86af300270b2330f9f8de1f446fec0add4a44b5d80f1c14a044bfa92a
Q2\results\q2_deep_search\raw\F11.npz,849370,714e20bfdb706be6691bc1343f970d0183eadd615c33745976f8516015c10cc4
Q2\results\q2_deep_search\raw\O70.json,794,442881637b0e59767461aea4ec254b1b502638ddf978d69605b2ca3f77843d68
Q2\results\q2_deep_search\raw\O70.npz,802460,c5b4062579c087f7ab5eff27cdc6583be74dadfc7a79781d9ffdc2b5d7ccb9d5
Q2\results\q2_deep_search\raw\O71.json,796,99ba9bda557337dd687495ebf8de597359ff36dbaee49a843da99037d2eaca4b
Q2\results\q2_deep_search\raw\O71.npz,816694,c1fe23bfdb8d5ba3e5b8e51fed620a327b9cff7960eca5ebd24af09b3069789d
Q2\results\q2_deep_search\raw\R00.json,797,457ccef2cdb2b39af6d87ac1f356857cb6221976c0fd7217f56ab4b9a41c3243
Q2\results\q2_deep_search\raw\R00.npz,847405,775b90336e5fe30c9a3f19e28c8d836bca72bb38f217491b23d0d04e80bd6d2a
Q2\results\q2_deep_search\raw\R01.json,800,3f4a31164bbd7f59c1fba9e3b68cba80754a760ed9377addbb7b97c0f8418951
Q2\results\q2_deep_search\raw\R01.npz,819144,a20a88d0b71587492da16f853a503fb967b33473e9819d505dcc43db40809e35
Q2\results\q2_deep_search\raw\R02.json,786,c244d9107586e8eb83416dac87587193b51b3aa7f1d059f6d57d83ca98cb04b6
Q2\results\q2_deep_search\raw\R02.npz,828191,e43cd730ac97b66d013b1eea0c91ef580371072c53383520357e2adef26a86a7
Q2\results\q2_deep_search\raw\R03.json,783,bb15a579f1ba7b61da3150b3604d723a2b33e30a2934b905db9b7183c0011873
Q2\results\q2_deep_search\raw\R03.npz,814688,7ac1fc8ca4ce9ebc0fdcc03956738861200e79519402fb6516607cff794cb2e4
Q2\results\q2_deep_search\raw\R04.json,788,3fda285361949075b9df89a63a16ca2f2ddca7e3aae68ef835583530806c427c
Q2\results\q2_deep_search\raw\R04.npz,800397,008b3e66bfeffec466c23d7003231d60e621d38db9411f6d7e32cf97d01ab351
Q2\results\q2_deep_search\raw\R05.json,786,5af4e9da3ab1c767f68bc2833a13f94cb7b34811ee2ee0bc58382398b7fb3d99
Q2\results\q2_deep_search\raw\R05.npz,825890,d91bc77ac42d363b787b93e63c4c2ba0b0f3830250eea23599e4bf45f7940a29
Q2\results\q2_deep_search\raw\R06.json,789,b24315789cc498f0602e95d3e87245ef7b35609ffe297a1211a999c3f9a190ff
Q2\results\q2_deep_search\raw\R06.npz,826330,a1a5b33f05b3e310f5fd1f2816e449d49f6aee3966335167c7ddd533a900b1be
Q2\results\q2_deep_search\raw\R07.json,791,3d5f9e71ce632b710354d8ab120b76a3177ab31c3f4a3fdfc9bfb3430b322f8b
Q2\results\q2_deep_search\raw\R07.npz,812651,c9f7066c5151e57d387f5331ce0db87848401427bc2d1b90c3d0c2c9c1569260
Q2\results\q2_deep_search\raw\R08.json,793,17a7b131e6381fcde3bbd8ad0e73fb52ff9e3631f72effa6cc726b1614767e87
Q2\results\q2_deep_search\raw\R08.npz,844864,32246c115e3565dabf3495a4f5b2a2c7d35155dc7d83e513cde959e3a279c894
Q2\results\q2_deep_search\raw\R09.json,789,824dcaf9d0e4637ca5c17d1026e6d02d6a621f8409aaf6471a8b65107c5930c0
Q2\results\q2_deep_search\raw\R09.npz,817048,dfabb3965644e18aca3ba3b4b9de8142c0264971ec11cd95d450befa26ca76ed
Q2\results\q2_deep_search\raw\R10.json,787,dbf58c99ca42fbffa1be85b8727aa64b260ba3617f0dfce64fef5c7dbf573388
Q2\results\q2_deep_search\raw\R10.npz,795130,4d7df002d82fb129e03846283bed9fcb42738c2d29eb8569ccc3b7cd156945a3
Q2\results\q2_deep_search\raw\S_DAYTYPE.json,1008,a8ad6852a571428ce47cca09dd5b17c8188fc915110a3a6081902533cb43394d
Q2\results\q2_deep_search\raw\S_DAYTYPE.npz,864050,364686b8e523955d56436ea0eccde933318bd6385cd7fc6454da29d599dd8e41
Q2\results\q2_deep_search\raw\S_DAYTYPE_V2.json,1009,825eed0b909daf305ba43c93412f873cbf596783c695ca4feb4a3e8d75b2e92d
Q2\results\q2_deep_search\raw\S_DAYTYPE_V2.npz,864050,364686b8e523955d56436ea0eccde933318bd6385cd7fc6454da29d599dd8e41
Q2\results\q2_deep_search\raw\S_MEDOID.json,1009,36c18097696ab2a3c1cf19f7eaf5fb461aaa0225822397bf7bea27eb6c711a7d
Q2\results\q2_deep_search\raw\S_MEDOID.npz,858653,3b8038a7f77b6607964eae6eef4b694636902287082c7d0bb38fa8429943c035
Q2\results\q2_deep_search\raw\S_MEDOID_V2.json,1009,bcc138d06632f79f7290115fa7b8bdb21a1f683dfe6f6b67fff7181b554a226d
Q2\results\q2_deep_search\raw\S_MEDOID_V2.npz,858119,9938f189e8b244230ec594a3953fe22cf826ad0f5cae90a2d53608bfbfdc30c4
Q2\results\q2_deep_search\raw\S_REC_002.json,1009,f1f5acb330a6dca0456efbafcc44d3da982dca8f80bebfd97ca1af6d5f8b94d2
Q2\results\q2_deep_search\raw\S_REC_002.npz,866822,77ecdb01ec50d9f3cfb90764c67e7da87d7a92b38d2c3bd44aa5cff6f694be52
Q2\results\q2_deep_search\raw\S_REC_002_V2.json,1007,44af0b3f6b5697dbd17de0e4066fd4781835d04e0b4db72753e73fbac079c6d7
Q2\results\q2_deep_search\raw\S_REC_002_V2.npz,865724,4bcaabc054cb3683ffe25854fde6fec811547d07d7b644e49408cfe43adc7747
Q2\results\q2_deep_search\raw\S_REC_005.json,1008,3df27d5cac04c3e248d8c45192569e4929b372525d69a36fbb150e84991b5366
Q2\results\q2_deep_search\raw\S_REC_005.npz,867716,4c722cde2c7543e73c924de9b2e52f2d0a07dafbfaf066ce5a084e6b5401c5de
Q2\results\q2_deep_search\raw\S_REC_005_V2.json,1009,8e61afde783fc34c9e94979719c5b1cbf22fee1a75f8ae251c62b3ad32bc164a
Q2\results\q2_deep_search\raw\S_REC_005_V2.npz,866506,ea642c6bbba1e79fa5b3c66cace9d82ab1dea2e6d246eedc39a5744b4bd5b306
Q2\results\q2_deep_search\raw\S_TREE.json,1007,f4709ab251e181e55941980d54e98209a79fdbf754cc3ff4450beb9e25b70203
Q2\results\q2_deep_search\raw\S_TREE.npz,864050,364686b8e523955d56436ea0eccde933318bd6385cd7fc6454da29d599dd8e41
Q2\results\q2_deep_search\raw\S_TREE_V2.json,1008,696179d7e136f0eca6464cb91f5d1a4dfe0b2d7863d49806ae3f4d81eccf075b
Q2\results\q2_deep_search\raw\S_TREE_V2.npz,864050,364686b8e523955d56436ea0eccde933318bd6385cd7fc6454da29d599dd8e41
Q2\results\q2_deep_search\raw\T10.json,816,4ea3897656ade44c6dac90930c610ded532e053f1b642e0e4f50db8c67cff79b
Q2\results\q2_deep_search\raw\T10.npz,829372,f3a2de07ad22b368e9043dfb835290ff5e97e5dac0f9cf9fd5a95c43f5eae990
Q2\results\q2_deep_search\raw\T30.json,809,20675d5907b709c404b4946f12d786ca7bd7ed1b5dabedebc05517704d5b68c6
Q2\results\q2_deep_search\raw\T30.npz,829371,a39ca823c30a1b8ef1ed3a7e986904eca968ed7051d0bf617d5347b58a2dd006
Q2\results\q2_deep_search\raw\T40.json,806,2922911eac7a47cc7b0737b4c78181784ed0a0ff656e7b8d48bcb4f31863f046
Q2\results\q2_deep_search\raw\T40.npz,829378,83bd4a5d05fd2ee427e60257107cc8051930e8697d73bc6ee67e59b236d90f9a
Q2\results\q2_deep_search\result2_Q2深搜冻结候选.xlsx,424235,4003ba3739fa4857a2b00d780cba21428f136295c62947d62b2ac95d896bdbec
Q2\results\q2_deep_search\result2_Q2深搜冻结候选.xlsx.inspect.ndjson,25239751,bb76e4fc6837b42321430f5deed1367ed4c7b6a7b25dd06650a915cc291e8aab
Q2\results\q2_deep_search\S2_COMPONENT_DECOMPOSITION.csv,462,c4f10d9c57c70693bb8cf0b1ce6285626c9b678a9e05a446e58a973ccb401678
Q2\results\q2_deep_search\S4_COMPONENT_DECOMPOSITION.csv,481,97954acb30423b3c062f7fa0e154288ec892999292400d3cc40a8b08b69fec5f
Q2\results\q2_deep_search\top5_championship\TOP1_CVAR95S.npz,864006,acfd1605d8a5e5be04f28580aa935e42e0c6585dd491e0d71aaf550b2ee416d7
Q2\results\q2_deep_search\top5_championship\TOP1_CVAR95S_daily.csv,59666,c1ae2d7d1f70e81d598fe2d1996ba8b1f4c7b2a302d56a85ca1e7e5e9e8c610a
Q2\results\q2_deep_search\top5_championship\TOP2_CVAR90S.npz,864112,0751d8ada4ce5752f44819ae584c838e3351bf166e288fca51628d7243b8009c
Q2\results\q2_deep_search\top5_championship\TOP2_CVAR90S_daily.csv,59666,bdb7f90d86bc0aa66a1cf9eebb401acc78a2c8f21f9b1448191bee9c9eddf2ed
Q2\results\q2_deep_search\top5_championship\TOP3_CVAR90M.npz,858327,3bba8c70de556091eacfb238e4eeea2f74657ce360d6ce3e9fbf03327040708d
Q2\results\q2_deep_search\top5_championship\TOP3_CVAR90M_daily.csv,59263,0ad83914325049afbb4cc28191f794c8f505e977e89d407b408cb9905ff60b98
Q2\results\q2_deep_search\top5_championship\TOP4_CAL_CVAR.npz,862745,00b5a866decb3439375fa3c9d3700a707551331201a48bd1aea213265892d9a7
Q2\results\q2_deep_search\top5_championship\TOP4_CAL_CVAR_daily.csv,59833,28b79853907e2ae730a02eb30f191f4bd8063dda9e85566f15bdc0e7930273af
Q2\results\q2_deep_search\top5_championship\TOP5_SIMPLE.npz,795130,4d7df002d82fb129e03846283bed9fcb42738c2d29eb8569ccc3b7cd156945a3
Q2\results\q2_deep_search\top5_championship\TOP5_SIMPLE_daily.csv,53977,be22f2f29babb4b2a59e2fe3bfdcca168cee63551e69309b0d27838654c347f4
Q2\results\q2_deep_search\TOP5_FINAL_COMPARISON.csv,1349,fbbd4b4be6f8d528e47716b04aa82cfd35178dd2c84f2557afb327383ababaaa
Q2\results\q2_deep_search\workbook_payload.json,591596,755d33e02393342ea79dff75099be9d020cc14bb2894d4e2f28628848dc386b8
Q2\results\q2_deep_search\workbook_previews\充放电量.png,74938,8020c93b058dbf9bd45c803c23274bda345dde8d338cc02be7b2c8434b69470e
Q2\results\q2_deep_search\workbook_previews\紧急购电量.png,101407,8a04af8fa747c92d77a307cb29dd7ce19aae7aa25bc5051394f331648108e14f
Q2\results\q2_deep_search\workbook_previews\计划购电量.png,146034,79ef07ef2644dcb759901d360561e828d1502055b50c3a0f7edbb0772b980b71
Q2\results\q2_deep_search\workbook_verification.json,1245,3b805712030fb11b57a4d9dc220b1453b76d9d5ee6d1e0e8849fdc33fdc59e34
Q2\results\q2_final_validation_v3\00_source_snapshot\code_hashes.csv,2456,6f931c7d6aaa98eda5365cc0fae49076924109b2f5404764854a9458c6c127d0
Q2\results\q2_final_validation_v3\00_source_snapshot\code_version.txt,126,3135f8c09ba835d3a940c9e040018718232fadcc5a8968b9ad0aa7deb6e91fa1
Q2\results\q2_final_validation_v3\00_source_snapshot\config_hashes.csv,1274,2155fdf829200f881c2cb8be40f6b11b231e5ef04f90ee4a4ef5355f43ee28cf
Q2\results\q2_final_validation_v3\00_source_snapshot\data_hashes.csv,297,def73da1718d48c35c01bf293b71a1b5915910fedda3f5d3b8e6dbb772c7dbf9
Q2\results\q2_final_validation_v3\01_cost_audit\independent_cost_audit.csv,965,34867c2edab5c4cbb9479a70e6a7f009ffc09d146eee488779ff2c65a255b7a1
Q2\results\q2_final_validation_v3\01_cost_audit\online_independent_cost_audit.csv,320,1a9849cf080a2ca6c41ba883ff6d679d327dd7de680f7150a022c540f640b570
Q2\results\q2_final_validation_v3\01_cost_audit\raw_models\CAL-CVaR\daily_results.csv,53129,d0705bb8aee299f509a2371fc125fe5da1ec0ddfba02af894b1197188d3b05bf
Q2\results\q2_final_validation_v3\01_cost_audit\raw_models\CAL-CVaR\interval_results.csv,7888036,ce8eabbb836b5ea4405c12c17ac50f33a90c0fdb8cc99ef841fb064fcb2670e5
Q2\results\q2_final_validation_v3\01_cost_audit\raw_models\CAL-CVaR\scenario_metadata.csv,231562,cc9131007b6e8e176fcd06f6ad5dd787f654b085823d43b93ee151a92f539297
Q2\results\q2_final_validation_v3\01_cost_audit\raw_models\CVaR-tau-0.95-rho-0.05\daily_results.csv,52925,c988aaa083b99f71ff0972cf7baacaf8437733a5ca80b79952a457687c40ec90
Q2\results\q2_final_validation_v3\01_cost_audit\raw_models\CVaR-tau-0.95-rho-0.05\interval_results.csv,7892259,f295a26fcf86b81ce077669396a95629fe55151fc4da616af17c1533d8b23f73
Q2\results\q2_final_validation_v3\01_cost_audit\raw_models\CVaR-tau-0.95-rho-0.05\scenario_metadata.csv,329677,ab37d3afc9fd6e27af3cf538e31351cb8ea418a3461cdfda18edf2a2866c8d47
