step,internal_start,internal_end,balance_residual_kwh,state_residual_kwh
122,20:30,20:40,0.0,-2.2737367544323206e-13
123,20:40,20:50,0.0,0.0
124,20:50,21:00,0.0,0.0
125,21:00,21:10,0.0,0.0
126,21:10,21:20,0.0,0.0
127,21:20,21:30,0.0,0.0
128,21:30,21:40,0.0,0.0
129,21:40,21:50,0.0,0.0
130,21:50,22:00,0.0,0.0
131,22:00,22:10,0.0,0.0
132,22:10,22:20,0.0,0.0
133,22:20,22:30,0.0,0.0
134,22:30,22:40,1.1368683772161603e-13,0.0
135,22:40,22:50,0.0,0.0
136,22:50,23:00,0.0,0.0
137,23:00,23:10,0.0,0.0
138,23:10,23:20,0.0,0.0
139,23:20,23:30,-5.684341886080802e-14,0.0
140,23:30,23:40,0.0,0.0
141,23:40,23:50,0.0,0.0
142,23:50,00:00+1,0.0,0.0
143,00:00+1,00:10+1,0.0,0.0
