step,internal_start,internal_end,load_kw,pv_kw
114,19:10,19:20,4244.6684,0.2296
115,19:20,19:30,4251.9187,0.6007
116,19:30,19:40,4256.6813,0.0
117,19:40,19:50,4267.3947,0.0
118,19:50,20:00,4269.975,0.0
119,20:00,20:10,4268.6702,0.0
120,20:10,20:20,4282.2245,0.0
121,20:20,20:30,4291.7049,0.0
122,20:30,20:40,4291.3611,0.0
123,20:40,20:50,4293.9182,0.0
124,20:50,21:00,4295.2135,0.0
125,21:00,21:10,4302.0307,0.0
126,21:10,21:20,4320.9618,0.0
127,21:20,21:30,4302.3292,0.0
128,21:30,21:40,4322.6758,0.0
129,21:40,21:50,4428.8083,0.0
130,21:50,22:00,4030.1614,0.0
131,22:00,22:10,3362.7419,0.0
132,22:10,22:20,3309.3934,0.0
133,22:20,22:30,3412.9563,0.0
134,22:30,22:40,3381.9313,0.0
135,22:40,22:50,3386.5592,0.0
136,22:50,23:00,3400.4846,0.0
137,23:00,23:10,3399.2426,0.0
138,23:10,23:20,3406.9809,0.0
139,23:20,23:30,3416.1518,0.0
140,23:30,23:40,3421.9811,0.0
141,23:40,23:50,3429.6923,0.0
142,23:50,00:00+1,3439.061,0.0
143,00:00+1,00:10+1,3444.7259,0.0
