step,internal_start,internal_end,input_time_label,template_label,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,unused_supply_kwh,energy_before_kwh,energy_after_kwh,purchase_cost_yuan
20,03:30,03:40,03:30:00,3:30-3:40,0.4356,3544.8808,0.0,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,257.35834608
21,03:40,03:50,03:40:00,3:40-3:50,0.4353,3541.2787,0.0,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0,256.91976968499995
22,03:50,04:00,03:50:00,3:50-4:00,0.436,3546.3976,0.0,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,257.70489226666666
23,04:00,04:10,04:00:00,4:00-4:10,0.4378,3560.207,0.0,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0,259.7764374333333
24,04:10,04:20,04:10:00,4:10-4:20,0.4401,3561.9581,0.0,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,261.269626635
25,04:20,04:30,04:20:00,4:20-4:30,0.4389,3556.7183,0.0,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,260.173943645
26,04:30,04:40,04:30:00,4:30-4:40,0.4364,3560.0272,0.0,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,258.93264501333334
27,04:40,04:50,04:40:00,4:40-4:50,0.4393,3580.654,0.5994,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,262.11966429666666
28,04:50,05:00,04:50:00,4:50-5:00,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,10050.0,264.33842655
29,05:00,05:10,05:00:00,5:00-5:10,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0,261.57391874999996
30,05:10,05:20,05:10:00,5:10-5:20,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,10050.0,255.90979645000002
31,05:20,05:30,05:20:00,5:20-5:30,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,261.6724728816667
32,05:30,05:40,05:30:00,5:30-5:40,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,248.79368904499995
33,05:40,05:50,05:40:00,5:40-5:50,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,0.0,10050.0,10800.0,513.7528775516666
34,05:50,06:00,05:50:00,5:50-6:00,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,591.1401999999999,0.0,-0.0,0.0,10800.0,10800.0,337.42282615999994
35,06:00,06:10,06:00:00,6:00-6:10,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,0.0,10800.0,10057.495685185186,0.0
36,06:10,06:20,06:10:00,6:10-6:20,0.9368,4454.0123,521.2803,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,0.0,10057.495685185186,9329.211981481481,0.0
37,06:20,06:30,06:20:00,6:20-6:30,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075,0.0
38,06:30,06:40,06:30:00,6:30-6:40,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852,0.0
39,06:40,06:50,06:40:00,6:40-6:50,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,0.0,7987.035851851852,7367.606000000001,0.0
40,06:50,07:00,06:50:00,6:50-7:00,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889,0.0
41,07:00,07:10,07:00:00,7:00-7:10,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593,0.0
42,07:10,07:20,07:10:00,7:10-7:20,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185,0.0
43,07:20,07:30,07:20:00,7:20-7:30,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5715.212685185185,5259.583018518519,0.0
44,07:30,07:40,07:30:00,7:30-7:40,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,0.0,5259.583018518519,4862.919925925926,0.0
45,07:40,07:50,07:40:00,7:40-7:50,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,0.0,4862.919925925926,4548.071518518518,0.0
46,07:50,08:00,07:50:00,7:50-8:00,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,0.0,4548.071518518518,4191.755833333333,0.0
47,08:00,08:10,08:00:00,8:00-8:10,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,0.0,4191.755833333333,3726.8431111111104,0.0
48,08:10,08:20,08:10:00,8:10-8:20,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,0.0,3726.8431111111104,3302.4977962962957,0.0
49,08:20,08:30,08:20:00,8:20-8:30,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,0.0,3302.4977962962957,2958.5462962962956,0.0
50,08:30,08:40,08:30:00,8:30-8:40,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,0.0,2958.5462962962956,2664.52474074074,0.0
51,08:40,08:50,08:40:00,8:40-8:50,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2664.52474074074,2427.0349629629623,0.0
52,08:50,09:00,08:50:00,8:50-9:00,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,0.0,2427.0349629629623,2228.6361666666658,0.0
53,09:00,09:10,09:00:00,9:00-9:10,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,0.0,2228.6361666666658,2055.9782592592583,0.0
54,09:10,09:20,09:10:00,9:10-9:20,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,0.0,2055.9782592592583,1931.2454814814803,0.0
55,09:20,09:30,09:20:00,9:20-9:30,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,0.0,1931.2454814814803,1859.6934074074063,0.0
56,09:30,09:40,09:30:00,9:30-9:40,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,0.0,1859.6934074074063,1834.6242407407397,0.0
57,09:40,09:50,09:40:00,9:40-9:50,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,0.0,1834.6242407407397,1850.3059007407396,0.0
58,09:50,10:00,09:50:00,9:50-10:00,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,0.0,1850.3059007407396,1897.8598907407395,0.0
59,10:00,10:10,10:00:00,10:00-10:10,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,0.0,1897.8598907407395,1973.9660657407394,0.0
60,10:10,10:20,10:10,10:10-10:20,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,0.0,1973.9660657407394,2079.2512907407395,0.0
61,10:20,10:30,10:20,10:20-10:30,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,0.0,2079.2512907407395,2211.2458307407396,0.0
62,10:30,10:40,10:30,10:30-10:40,0.9549,5873.4708,6914.5923,978.9118,1152.43205,0.0,173.52024999999992,0.0,0.0,2211.2458307407396,2367.4140557407395,0.0
63,10:40,10:50,10:40,10:40-10:50,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,0.0,2367.4140557407395,2548.3402307407396,0.0
64,10:50,11:00,10:50,10:50-11:00,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,0.0,2548.3402307407396,2751.2057357407393,0.0
65,11:00,11:10,11:00,11:00-11:10,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,0.0,2751.2057357407393,2970.8140607407395,0.0
66,11:10,11:20,11:10,11:10-11:20,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,2970.8140607407395,3720.8140607407395,268.1446813499999
67,11:20,11:30,11:20,11:20-11:30,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,0.0,3720.8140607407395,3966.1824407407394,0.0
68,11:30,11:40,11:30,11:30-11:40,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,0.0,3966.1824407407394,4222.07132574074,0.0
69,11:40,11:50,11:40,11:40-11:50,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,179.2771713991827,468.5786380658495,0.0,0.0,4222.07132574074,4643.792100000004,85.78412651450891
70,11:50,12:00,11:50,11:50-12:00,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,0.0,4643.792100000004,5393.792100000004,242.48204966999992
71,12:00,12:10,12:00,12:00-12:10,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,0.0,5393.792100000004,6143.792100000004,215.57376527999998
72,12:10,12:20,12:10,12:10-12:20,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,0.0,6143.792100000004,6893.792100000004,211.90993169499995
73,12:20,12:30,12:20,12:20-12:30,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,0.0,6893.792100000004,7643.792100000004,220.86003
74,12:30,12:40,12:30,12:30-12:40,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,0.0,7643.792100000004,8393.792100000004,218.06528922333328
75,12:40,12:50,12:40,12:40-12:50,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,0.0,8393.792100000004,9143.792100000004,204.93875261999995
76,12:50,13:00,12:50,12:50-13:00,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,0.0,9143.792100000004,9417.888690000003,0.0
77,13:00,13:10,13:00,13:00-13:10,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,0.0,9417.888690000003,9655.945155000003,0.0
78,13:10,13:20,13:10,13:10-13:20,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,0.0,9655.945155000003,9874.201950000002,0.0
79,13:20,13:30,13:20,13:20-13:30,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,0.0,9874.201950000002,10074.969975000002,0.0
80,13:30,13:40,13:30,13:30-13:40,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,0.0,10074.969975000002,10253.853360000001,0.0
81,13:40,13:50,13:40,13:40-13:50,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,0.0,10253.853360000001,10413.477195000001,0.0
82,13:50,14:00,13:50,13:50-14:00,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,0.0,10413.477195000001,10550.043465,0.0
83,14:00,14:10,14:00,14:00-14:10,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,0.0,10550.043465,10658.074995,0.0
84,14:10,14:20,14:10,14:10-14:20,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,0.0,10658.074995,10737.108,0.0
85,14:20,14:30,14:20,14:20-14:30,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,0.0,10737.108,10785.37038,0.0
86,14:30,14:40,14:30,14:30-14:40,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,0.0,10785.37038,10800.0,0.0
87,14:40,14:50,14:40,14:40-14:50,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,0.0,10800.0,10773.57625925926,0.0
88,14:50,15:00,14:50,14:50-15:00,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,0.0,10773.57625925926,10698.77624074074,0.0
89,15:00,15:10,15:00,15:00-15:10,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,0.0,10698.77624074074,10698.77624074074,75.03295674666668
90,15:10,15:20,15:10,15:10-15:20,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,266.73269362139905,112.47084362139907,0.0,0.0,10698.77624074074,10800.0,176.04357779012338
91,15:20,15:30,15:20,15:20-15:30,0.7217,5656.3651,4471.224,942.7275166666666,745.204,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,142.55272197833332
92,15:30,15:40,15:30,15:30-15:40,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,178.91009555999992
93,15:40,15:50,15:40,15:40-15:50,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,222.65578019666668
94,15:50,16:00,15:50,15:50-16:00,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,0.0,10800.0,10800.0,270.50173825000013
95,16:00,16:10,16:00,16:00-16:10,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,0.0,10800.0,10800.0,318.11730982499995
96,16:10,16:20,16:10,16:10-16:20,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,445.4316500000001,0.0,-0.0,0.0,10800.0,10800.0,368.41651771500005
97,16:20,16:30,16:20,16:20-16:30,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,495.69658333333325,0.0,-0.0,0.0,10800.0,10800.0,422.2839193416666
98,16:30,16:40,16:30,16:30-16:40,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,547.11905,0.0,-0.0,0.0,10800.0,10800.0,480.972356855
99,16:40,16:50,16:40,16:40-16:50,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,541.42685504
100,16:50,17:00,16:50,16:50-17:00,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,0.0,10800.0,10800.0,582.2442799249999
101,17:00,17:10,17:00,17:00-17:10,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,660.8306833333334,0.0,-0.0,0.0,10800.0,10800.0,612.19354504
102,17:10,17:20,17:10,17:10-17:20,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,702.0369333333333,0.0,-0.0,0.0,10800.0,10800.0,664.26734632
103,17:20,17:30,17:20,17:20-17:30,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,738.0657833333333,0.0,-0.0,0.0,10800.0,10800.0,719.0236861233333
104,17:30,17:40,17:30,17:30-17:40,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,775.9447166666666,0.0,-0.0,0.0,10800.0,10800.0,765.2366795766666
105,17:40,17:50,17:40,17:40-17:50,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,0.0,10800.0,10800.0,806.257252
106,17:50,18:00,17:50,17:50-18:00,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,762.4227999999999,0.0,-0.0,0.0,10800.0,10800.0,818.99457176
107,18:00,18:10,18:00,18:00-18:10,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,636.9826166666667,0.0,-0.0,0.0,10800.0,10800.0,784.3166959016667
108,18:10,18:20,18:10,18:10-18:20,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,668.1121162049999
109,18:20,18:30,18:20,18:20-18:30,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,844.9403648399999
110,18:30,18:40,18:30,18:30-18:40,1.2545,4225.9524,108.3414,704.3254,18.0569,686.2684999999999,0.0,0.0,0.0,10678.591944444444,10678.591944444444,860.9238332499998
111,18:40,18:50,18:40,18:40-18:50,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,872.1627888099999
112,18:50,19:00,18:50,18:50-19:00,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,0.0,0.0,704.6342666666666,0.0,10678.591944444444,9895.664981481481,0.0
113,19:00,19:10,19:00,19:00-19:10,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333333,0.0,9895.664981481481,9110.682722222222,0.0
114,19:10,19:20,19:10,19:10-19:20,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,0.0,9110.682722222222,8324.675537037037,0.0
115,19:20,19:30,19:20,19:20-19:30,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,0.0,8324.675537037037,7537.394425925927,0.0
116,19:30,19:40,19:30,19:30-19:40,1.3483,4256.6813,0.0,709.4468833333333,0.0,0.0,0.0,709.4468833333333,0.0,7537.394425925927,6749.120111111112,0.0
117,19:40,19:50,19:40,19:40-19:50,1.349,4267.3947,0.0,711.23245,0.0,0.0,0.0,711.23245,0.0,6749.120111111112,5958.861833333334,0.0
118,19:50,20:00,19:50,19:50-20:00,1.3473,4269.975,0.0,711.6625,0.0,0.0,0.0,711.6625,0.0,5958.861833333334,5168.125722222223,0.0
119,20:00,20:10,20:00,20:00-20:10,1.3482,4268.6702,0.0,711.4450333333332,0.0,0.0,0.0,711.4450333333332,0.0,5168.125722222223,4377.631240740741,0.0
120,20:10,20:20,20:10,20:10-20:20,1.3513,4282.2245,0.0,713.7040833333333,0.0,0.0,0.0,713.7040833333333,0.0,4377.631240740741,3584.626703703704,0.0
121,20:20,20:30,20:20,20:20-20:30,1.34,4291.7049,0.0,715.28415,0.0,0.0,0.0,715.28415,0.0,3584.626703703704,2789.8665370370372,0.0
122,20:30,20:40,20:30,20:30-20:40,1.3489,4291.3611,0.0,715.22685,0.0,0.0,0.0,715.22685,0.0,2789.8665370370372,1995.170037037037,0.0
123,20:40,20:50,20:40,20:40-20:50,1.3952,4293.9182,0.0,715.6530333333333,0.0,0.0,0.0,715.6530333333333,0.0,1995.170037037037,1200.0,0.0
124,20:50,21:00,20:50,20:50-21:00,1.2226,4295.2135,0.0,715.8689166666666,0.0,715.8689166666666,0.0,-0.0,0.0,1200.0,1200.0,875.2213375166665
125,21:00,21:10,21:00,21:00-21:10,0.9332,4302.0307,0.0,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,669.1091748733334
126,21:10,21:20,21:10,21:10-21:20,0.9068,4320.9618,0.0,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,1200.0,653.0413600400001
127,21:20,21:30,21:20,21:20-21:30,0.9371,4302.3292,0.0,717.0548666666666,0.0,717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,671.9521155533333
128,21:30,21:40,21:30,21:30-21:40,0.9371,4322.6758,0.0,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,675.1299153633333
129,21:40,21:50,21:40,21:40-21:50,0.9871,4428.8083,0.0,738.1347166666666,0.0,738.1347166666666,0.0,-0.0,0.0,1200.0,1200.0,728.6127788216666
130,21:50,22:00,21:50,21:50-22:00,0.7764,4030.1614,0.0,671.6935666666666,0.0,671.6935666666666,0.0,-0.0,0.0,1200.0,1200.0,521.5028851599999
131,22:00,22:10,22:00,22:00-22:10,0.4209,3362.7419,0.0,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,0.0,1200.0,1950.0,586.6463442849999
132,22:10,22:20,22:10,22:10-22:20,0.3859,3309.3934,0.0,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,0.0,1950.0,2700.0,534.43248551
133,22:20,22:30,22:20,22:20-22:30,0.4368,3412.9563,0.0,568.8260499999999,0.0,568.8260499999999,0.0,0.0,0.0,2700.0,2700.0,248.46321863999998
134,22:30,22:40,22:30,22:30-22:40,0.4198,3381.9313,0.0,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,0.0,2700.0,3450.0,586.45579329
135,22:40,22:50,22:40,22:40-22:50,0.4186,3386.5592,0.0,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,0.0,3450.0,4200.0,585.1022801866667
136,22:50,23:00,22:50,22:50-23:00,0.4241,3400.4846,0.0,566.7474333333332,0.0,566.7474333333332,0.0,0.0,0.0,4200.0,4200.0,240.3575864766666
137,23:00,23:10,23:00,23:00-23:10,0.4237,3399.2426,0.0,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4200.0,4950.0,593.1265149366667
138,23:10,23:20,23:10,23:10-23:20,0.4248,3406.9809,0.0,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0,4950.0,241.21424772
139,23:20,23:30,23:20,23:20-23:30,0.424,3416.1518,0.0,569.3586333333333,0.0,902.6919666666665,333.3333333333333,0.0,0.0,4950.0,5250.0,382.7413938666666
140,23:30,23:40,23:30,23:30-23:40,0.422,3421.9811,0.0,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,5250.0,6000.0,592.3460040333332
141,23:40,23:50,23:40,23:40-23:50,0.424,3429.6923,0.0,571.6153833333333,0.0,571.6153833333333,0.0,0.0,0.0,6000.0,6000.0,242.3649225333333
142,23:50,00:00+1,23:50,23:50-0:00+1,0.4271,3439.061,0.0,573.1768333333333,0.0,573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,244.80382551666665
143,00:00+1,00:10+1,0:00+1,0:00+1-0:10+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,574.1209833333332,0.0,0.0,0.0,6000.0,6000.0,245.49413247333328
